Model,Scenario,Region,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Notes
OECD Env-Growth,SSP1,ABW,GDP|PPP,billion US$2005/yr,0.151,0.205,0.266,0.357,0.492,0.679,0.926,1.237,1.617,2.067,2.586,3.165,3.797,4.47,5.171,5.842,6.469,7.034,7.505,
OECD Env-Growth,SSP2,ABW,GDP|PPP,billion US$2005/yr,0.151,0.205,0.264,0.342,0.442,0.562,0.715,0.905,1.139,1.422,1.762,2.161,2.621,3.138,3.711,4.314,4.951,5.615,6.301,
OECD Env-Growth,SSP3,ABW,GDP|PPP,billion US$2005/yr,0.151,0.202,0.254,0.316,0.386,0.458,0.541,0.637,0.746,0.871,1.016,1.184,1.374,1.587,1.824,2.078,2.356,2.661,2.99,
OECD Env-Growth,SSP4,ABW,GDP|PPP,billion US$2005/yr,0.151,0.205,0.266,0.359,0.495,0.685,0.938,1.259,1.657,2.136,2.7,3.345,4.061,4.834,5.649,6.458,7.259,8.036,8.774,
OECD Env-Growth,SSP5,ABW,GDP|PPP,billion US$2005/yr,0.151,0.208,0.277,0.395,0.589,0.885,1.291,1.823,2.498,3.327,4.318,5.468,6.769,8.208,9.77,11.351,12.921,14.432,15.81,
OECD Env-Growth,SSP1,AFG,GDP|PPP,billion US$2005/yr,37.237,47.643,59.153,78.506,109.567,157.25,227.005,324.841,456.674,627.328,839.381,1094.144,1389.577,1722.005,2086.194,2474.187,2878.709,3293.204,3707.958,
OECD Env-Growth,SSP2,AFG,GDP|PPP,billion US$2005/yr,37.237,48.185,60.175,77.749,101.896,134.116,177.824,236.506,314.371,415.985,546.228,711.887,920.484,1180.436,1499.321,1884.331,2341.087,2874.947,3490.802,
OECD Env-Growth,SSP3,AFG,GDP|PPP,billion US$2005/yr,37.237,48.657,61.865,79.552,101.892,129.443,164.742,209.418,264.787,331.875,411.876,506.733,618.176,747.105,892.395,1053.028,1228.295,1417.795,1621.072,
OECD Env-Growth,SSP4,AFG,GDP|PPP,billion US$2005/yr,37.237,48.546,61.385,78.194,98.723,122.492,151.755,187.387,229.826,279.199,335.745,400.507,474.222,556.956,647.457,745.098,849.658,961.343,1080.487,
OECD Env-Growth,SSP5,AFG,GDP|PPP,billion US$2005/yr,37.237,47.532,58.848,79.059,114.303,171.645,257.527,380.116,547.707,767.62,1044.537,1383.535,1785.195,2249.365,2776.635,3362.675,4004.527,4700.203,5442.728,
OECD Env-Growth,SSP1,AGO,GDP|PPP,billion US$2005/yr,98.686,127.295,171.984,203.363,232.32,261.469,304.102,369.997,464.994,591.431,750.86,942.049,1160.284,1400.116,1655.046,1917.629,2181.823,2441.164,2687.836,
OECD Env-Growth,SSP2,AGO,GDP|PPP,billion US$2005/yr,98.686,128.679,172.787,200.062,218.446,228.144,244.75,275.557,324.819,394.374,486.447,603.49,747.486,919.388,1119.581,1347.305,1601.584,1881.075,2184.172,
OECD Env-Growth,SSP3,AGO,GDP|PPP,billion US$2005/yr,98.686,128.849,171.468,199.156,217.801,223.319,225.297,231.799,247.196,272.098,306.201,349.531,401.771,462.706,531.346,606.858,688.203,776.162,870.001,
OECD Env-Growth,SSP4,AGO,GDP|PPP,billion US$2005/yr,98.686,129.041,172.16,201.272,225.039,240.4,257.078,284.463,329.09,394.028,481.667,594.862,736.232,907.959,1110.017,1342.222,1602.826,1893.984,2214.45,
OECD Env-Growth,SSP5,AGO,GDP|PPP,billion US$2005/yr,98.686,127.389,173.632,214.748,264.116,323.521,401.276,510.353,663.75,869.382,1133.13,1456.094,1833.656,2260.13,2727.862,3227.709,3752.107,4292.043,4834.886,
OECD Env-Growth,SSP1,ALB,GDP|PPP,billion US$2005/yr,24.545,26.919,30.452,35.126,41.037,48.034,55.608,63.289,70.384,76.939,83.03,88.331,92.473,95.687,98.004,99.153,99.277,98.596,97.006,
OECD Env-Growth,SSP2,ALB,GDP|PPP,billion US$2005/yr,24.545,26.994,30.562,34.682,39.071,43.555,48.348,53.341,58.205,63.076,68.08,73.021,77.718,82.299,86.642,90.58,94.198,97.67,101.192,
OECD Env-Growth,SSP3,ALB,GDP|PPP,billion US$2005/yr,24.545,27.178,31.008,34.909,38.548,41.695,44.756,47.737,50.445,53.052,55.728,58.445,61.263,64.348,67.486,70.535,73.618,76.925,80.668,
OECD Env-Growth,SSP4,ALB,GDP|PPP,billion US$2005/yr,24.545,26.929,30.344,34.169,38.415,42.799,47.378,51.972,56.281,60.448,64.585,68.372,71.538,74.214,76.38,77.91,78.975,79.731,80.229,
OECD Env-Growth,SSP5,ALB,GDP|PPP,billion US$2005/yr,24.545,26.838,30.302,35.462,42.765,51.992,62.17,72.826,83.229,93.51,103.79,113.536,121.975,129.225,135.404,140.236,143.913,146.697,148.263,
OECD Env-Growth,SSP1,ARE,GDP|PPP,billion US$2005/yr,318.142,439.9,536.362,652.339,787.776,927.181,1061.287,1176.838,1266.675,1343.919,1421.73,1487.358,1535.672,1560.609,1569.904,1565.244,1550.719,1526.111,1486.25,
