Model,Scenario,Region,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Notes
IIASA-WiC POP,SSP1,ABW,Population,million,0.107488000003769,0.117646111398555,0.124379967420928,0.130284973937426,0.135258344957585,0.139625867257729,0.14332409699578,0.146072774756084,0.14777666288319,0.148569335612701,0.148656108136751,0.14779323654195,0.146062290347865,0.143461765084484,0.139950184420869,0.135143143309256,0.129071098393798,0.122080005756489,0.114125524468677,
IIASA-WiC POP,SSP2,ABW,Population,million,0.107488000003769,0.117911977446286,0.125253429911315,0.131958015439589,0.137986092496571,0.143246529226627,0.147959962625544,0.152063558829981,0.155624226398463,0.158801225687323,0.161699488641044,0.163725513911305,0.164751505854228,0.164718870354727,0.163600306134123,0.161487687666734,0.158546722227694,0.154914234181746,0.15069611296097,
IIASA-WiC POP,SSP3,ABW,Population,million,0.107488000003769,0.116728436915227,0.122927980062601,0.128017768482877,0.132327378395812,0.135621543714552,0.13832858660632,0.140921229199131,0.143782797288482,0.146954519597069,0.150430584824293,0.153733396609012,0.156825630622015,0.159786028593968,0.162634136811146,0.165324474761917,0.167774087801969,0.169895231585117,0.171607891625324,
IIASA-WiC POP,SSP4,ABW,Population,million,0.107488000003769,0.117634224420617,0.124394641509027,0.130295340944963,0.135132813929221,0.139174971402598,0.142472471563166,0.144953638998041,0.146651219900739,0.147725488885713,0.14833586145585,0.147983962860545,0.14657975909832,0.144085366269624,0.140495483710222,0.135938848163456,0.130624411272565,0.12472293538203,0.118362387424472,
IIASA-WiC POP,SSP5,ABW,Population,million,0.107488000003769,0.119044690519984,0.127417638060417,0.135684588822709,0.143132201603807,0.150134762367868,0.156565096951409,0.161914047772606,0.16590519044246,0.168626277368498,0.170334028528135,0.170679721183433,0.169760930849955,0.167570679239914,0.164081945787386,0.158904293255319,0.152101211436972,0.144083176236014,0.134807113465712,
NCAR,SSP1,ABW,Population,million,0.107488000003769,0.117646111398555,0.124379967420928,0.130284973937426,0.135258344957585,0.139625867257729,0.14332409699578,0.146072774756084,0.14777666288319,0.148569335612701,0.148656108136751,0.14779323654195,0.146062290347865,0.143461765084484,0.139950184420869,0.135143143309256,0.129071098393798,0.122080005756489,0.114125524468677,
NCAR,SSP2,ABW,Population,million,0.107488000003769,0.117911977446286,0.125253429911315,0.131958015439589,0.137986092496571,0.143246529226627,0.147959962625544,0.152063558829981,0.155624226398463,0.158801225687323,0.161699488641044,0.163725513911305,0.164751505854228,0.164718870354727,0.163600306134123,0.161487687666734,0.158546722227694,0.154914234181746,0.15069611296097,
NCAR,SSP3,ABW,Population,million,0.107488000003769,0.116728436915227,0.122927980062601,0.128017768482877,0.132327378395812,0.135621543714552,0.13832858660632,0.140921229199131,0.143782797288482,0.146954519597069,0.150430584824293,0.153733396609012,0.156825630622015,0.159786028593968,0.162634136811146,0.165324474761917,0.167774087801969,0.169895231585117,0.171607891625324,
NCAR,SSP4,ABW,Population,million,0.107488000003769,0.117634224420617,0.124394641509027,0.130295340944963,0.135132813929221,0.139174971402598,0.142472471563166,0.144953638998041,0.146651219900739,0.147725488885713,0.14833586145585,0.147983962860545,0.14657975909832,0.144085366269624,0.140495483710222,0.135938848163456,0.130624411272565,0.12472293538203,0.118362387424472,
NCAR,SSP5,ABW,Population,million,0.107488000003769,0.119044690519984,0.127417638060417,0.135684588822709,0.143132201603807,0.150134762367868,0.156565096951409,0.161914047772606,0.16590519044246,0.168626277368498,0.170334028528135,0.170679721183433,0.169760930849955,0.167570679239914,0.164081945787386,0.158904293255319,0.152101211436972,0.144083176236014,0.134807113465712,
OECD Env-Growth,SSP1,ABW,Population,million,0.107,0.118,0.124,0.13,0.135,0.14,0.143,0.146,0.148,0.149,0.149,0.148,0.146,0.143,0.14,0.135,0.129,0.122,0.114,
OECD Env-Growth,SSP2,ABW,Population,million,0.107,0.118,0.125,0.132,0.138,0.143,0.148,0.152,0.156,0.159,0.162,0.164,0.165,0.165,0.164,0.161,0.159,0.155,0.151,
OECD Env-Growth,SSP3,ABW,Population,million,0.107,0.117,0.123,0.128,0.132,0.136,0.138,0.141,0.144,0.147,0.15,0.154,0.157,0.16,0.163,0.165,0.168,0.17,0.172,
