Model,Scenario (History),Region,Variable,Unit,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2008,2010
History,WPP2010,ABW,Population,million,0.054209,0.057362,0.059066,0.060654,0.060099,0.06303,0.062147,0.080323,0.090271,0.100996,0.105526,0.107488
History,WUP2009,ABW,Population,million,0.054209,0.057362,0.059066,0.060654,0.060099,0.06303,0.062147,0.080323,0.090271,0.100996,,0.107488
History,World Bank (WDI),ABW,Population,million,0.054209,0.057362,0.059066,0.060654,0.060099,0.06303,0.062147,0.080323,0.090271,0.100996,0.105526,0.107488
History,WPP2010,AFG,Population,million,9.671046,10.697983,11.964906,13.505544,14.185729,12.625292,13.032161,19.78988,22.856302,27.614718,29.839994,31.411743
History,WUP2009,AFG,Population,million,9.671046,10.697983,11.964906,13.505544,14.185729,12.625292,13.032161,19.78988,22.856302,27.614718,,31.411743
History,World Bank (WDI),AFG,Population,million,9.671046,10.697983,11.964906,13.505544,14.185729,12.625292,13.032161,19.78988,22.856302,27.614718,29.839994,31.411743
History,WPP2010,AGO,Population,million,4.963068,5.431135,5.926333,6.637419,7.63842,9.065562,10.335052,12.105105,13.926373,16.489021,18.037964,19.081912
History,WUP2009,AGO,Population,million,4.963068,5.431135,5.926333,6.637419,7.63842,9.065562,10.335052,12.105105,13.926373,16.489021,,19.081912
History,World Bank (WDI),AGO,Population,million,4.963068,5.431135,5.926333,6.637419,7.63842,9.065562,10.335052,12.105105,13.926373,16.489021,18.037964,19.081912
History,WPP2010,AIA,Population,million,0.005863,0.006114,0.0064,0.00663,0.006698,0.006661,0.008332,0.009805,0.011068,0.013574,0.014737,0.015358
History,WUP2009,AIA,Population,million,0.005863,0.006114,0.0064,0.00663,0.006698,0.006661,0.008332,0.009805,0.011068,0.013574,,0.015358
History,World Bank (WDI),AIA,Population,million,0.005863,0.006114,0.0064,0.00663,0.006698,0.006661,0.008332,0.009805,0.011068,0.013574,0.014737,0.015358
History,WPP2010,ALB,Population,million,1.610565,1.869942,2.135599,2.400801,2.6713,2.95739,3.289483,3.141102,3.071856,3.1418,3.181397,3.204284
History,WUP2009,ALB,Population,million,1.610565,1.869942,2.135599,2.400801,2.6713,2.95739,3.289483,3.141102,3.071856,3.1418,,3.204284
History,World Bank (WDI),ALB,Population,million,1.610565,1.869942,2.135599,2.400801,2.6713,2.95739,3.289483,3.141102,3.071856,3.1418,3.181397,3.204284
History,WPP2010,AND,Population,million,0.013377,0.018529,0.024364,0.030967,0.037328,0.047414,0.052773,0.064699,0.064634,0.077888,0.082577,0.084864
History,WUP2009,AND,Population,million,0.013377,0.018529,0.024364,0.030967,0.037328,0.047414,0.052773,0.064699,0.064634,0.077888,,0.084864
History,World Bank (WDI),AND,Population,million,0.013377,0.018529,0.024364,0.030967,0.037328,0.047414,0.052773,0.064699,0.064634,0.077888,0.082577,0.084864
History,WPP2010,ARE,Population,million,0.089871,0.146387,0.231754,0.533554,1.016228,1.349,1.808642,2.348539,3.033491,4.069349,6.206623,7.51169
History,WUP2009,ARE,Population,million,0.089871,0.146387,0.231754,0.533554,1.016228,1.349,1.808642,2.348539,3.033491,4.069349,,7.51169
