Model,Scenario (History),Region,Variable,Unit,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010
History,WUP2009,ABW,Population|Urban|Share,%,50.776,50.7,50.624,50.548,50.472,50.395,50.319,48.761,46.703,46.6,46.872
History,WUP2009,AFG,Population|Urban|Share,%,7.993,9.353,11.031,13.278,15.675,16.917,18.098,19.125,20.197,21.312,22.6
History,WUP2009,AGO,Population|Urban|Share,%,10.435,12.504,14.957,19.128,24.298,30.338,37.144,43.988,48.987,53.956,58.504
History,WUP2009,AIA,Population|Urban|Share,%,100,100,100,100,100,100,100,100,100,100,100
History,WUP2009,ALB,Population|Urban|Share,%,30.705,31.23,31.74,32.712,33.762,35.083,36.428,38.911,41.741,46.74,51.911
History,WUP2009,AND,Population|Urban|Share,%,58.45,70.445,80.155,87.252,92.064,95.159,94.712,93.661,92.395,90.276,88.004
History,WUP2009,ARE,Population|Urban|Share,%,73.5,75.661,77.701,79.615,80.71,79.804,79.073,78.366,80.262,82.264,84.05
History,WUP2009,ARG,Population|Urban|Share,%,73.611,76.369,78.88,80.969,82.887,85.038,86.984,88.654,90.125,91.39,92.393
History,WUP2009,ARM,Population|Urban|Share,%,51.275,55.622,59.864,63.611,66.05,67.09,67.421,66.057,64.666,64.1,64.191
History,WUP2009,ASM,Population|Urban|Share,%,66.211,68.334,70.384,72.354,74.33,77.762,80.948,85.28,88.766,91.282,92.974
History,WUP2009,ATG,Population|Urban|Share,%,39.656,36.61,33.819,34.217,34.618,35.021,35.426,33.961,32.127,30.736,30.341
History,WUP2009,AUS,Population|Urban|Share,%,81.529,83.485,85.265,85.921,85.76,85.46,85.4,86.106,87.165,88.193,89.108
History,WUP2009,AUT,Population|Urban|Share,%,64.72,65.011,65.258,65.341,65.391,65.566,65.765,65.8,65.8,66.499,67.553
History,WUP2009,AZE,Population|Urban|Share,%,47.718,48.808,50.008,51.897,52.777,53.498,53.749,52.206,51.196,51.533,51.931
History,WUP2009,BDI,Population|Urban|Share,%,2.038,2.211,2.382,3.218,4.339,5.221,6.271,7.211,8.275,9.525,10.999
History,WUP2009,BEL,Population|Urban|Share,%,92.46,93.137,93.843,94.48,95.381,95.93,96.377,96.777,97.116,97.267,97.411
History,WUP2009,BEN,Population|Urban|Share,%,9.275,12.519,16.691,21.904,27.339,30.796,34.485,36.758,38.333,40.012,42.044
History,WUP2009,BFA,Population|Urban|Share,%,4.7,5.198,5.746,6.347,8.805,12.334,13.815,15.131,17.844,21.537,25.689
History,WUP2009,BGD,Population|Urban|Share,%,5.135,6.211,7.593,9.836,14.851,17.496,19.811,21.693,23.59,25.672,28.067
History,WUP2009,BGR,Population|Urban|Share,%,37.1,45.755,52.3,57.562,62.1,64.59,66.377,67.782,68.899,70.179,71.458
History,WUP2009,BHR,Population|Urban|Share,%,82.32,82.5,83.775,84.975,86.101,87.155,88.14,88.388,88.372,88.418,88.614
History,WUP2009,BHS,Population|Urban|Share,%,59.654,63.281,66.725,69.999,73.102,76.674,79.838,80.961,82.035,83.078,84.099
History,WUP2009,BIH,Population|Urban|Share,%,19.04,22.817,27.201,31.288,35.543,37.589,39.249,41.064,43.228,45.747,48.621
History,WUP2009,BLR,Population|Urban|Share,%,32.401,38.127,44.01,50.614,56.498,61.833,65.981,67.926,69.928,72.152,74.695
