ISO_A3,year,prec,tmax,tmin
AFG,1960,27.6697817271916,43.75,-27.8125
AFG,1961,26.0749628152325,44,-29.1875
AFG,1962,21.1491839889641,43,-27.875
AFG,1963,26.6593350453911,44,-27.0625
AFG,1964,25.561435707117,44,-29.25
AFG,1965,28.9508076911845,44,-28.1875
AFG,1966,22.9797179873085,44,-26.375
AFG,1967,29.7116731358279,45,-28.75
AFG,1968,27.8499235574345,43,-29.3125
AFG,1969,28.3674270062025,44,-29.9375
AFG,1970,18.2625341837344,44,-25.5
AFG,1971,15.9164654953912,44,-27.75
AFG,1972,31.1265283067933,43,-30.5625
AFG,1973,22.2662592467562,45,-26.875
AFG,1974,24.2280922084968,43.8125,-29.75
AFG,1975,25.604152801949,45,-28.875
AFG,1976,28.0103961106243,44.375,-27.3125
AFG,1977,23.5700732217503,45.125,-28.6875
AFG,1978,23.508389934834,44,-29.6875
AFG,1979,26.7455275284153,44.4375,-26.5625
AFG,1980,26.4764096005469,44.375,-26.75
AFG,1981,27.5719489237824,44,-26.125
AFG,1982,32.0138964127965,44,-27.75
AFG,1983,24.0562287527036,45.5,-27.8125
AFG,1984,21.3894870189968,44,-29.5
AFG,1985,19.2582575731891,45,-26.8125
AFG,1986,24.3666855979729,43.125,-26.75
AFG,1987,24.1998443210893,43,-25.9375
AFG,1988,25.0208993885208,45,-26.4375
AFG,1989,23.7621514664485,43.3125,-28.0625
AFG,1990,27.1323794391556,44,-25.5625
AFG,1991,31.8959513506123,45,-27.0625
AFG,1992,30.0487421571687,44,-27
AFG,1993,24.2536231919281,44,-27.25
AFG,1994,25.043862943266,44,-27.5625
AFG,1995,23.9638451557718,44.125,-26.8125
AFG,1996,24.5851196301406,43,-27.125
AFG,1997,25.3036777172279,46,-27.8125
AFG,1998,28.1414687312704,45,-26.4375
AFG,1999,23.7475746047171,45,-25.625
AFG,2000,18.1884855390194,44,-27.8125
AFG,2001,17.3537726348024,45,-26.3125
AFG,2002,24.0344927909955,44,-26.75
AFG,2003,26.0632566475899,45,-25.5625
AFG,2004,23.8039708177702,45,-24.5625
AFG,2005,27.6187289853636,45,-27.0625
AFG,2006,26.4710077238902,46,-26.3125
AFG,2007,24.5332289399408,45,-25.375
AFG,2008,21.5846593105195,46,-28.8125
AFG,2009,29.9710169476694,46,-24.75
AFG,2010,21.7887851120356,46,-26.375
AFG,2011,24.2520382908284,45,-26.5625
AFG,2012,28.8322064290224,45.75,-27.875
AFG,2013,28.0380744180684,46,-26.5625
AFG,2014,22.919907385656,46,-27.9375
AFG,2015,30.7247214419382,45,-24.75
AFG,2016,28.2728208160821,46,-26.0625
AFG,2017,22.4804919647641,46,-26.875
AFG,2018,20.7884841545698,47,-26.3125
AFG,2019,29.1490437980975,46.6875,-26.5625
AFG,2020,30.3177161771818,45.0625,-26.375
AFG,2021,16.3872771075027,46,-27.25
AGO,1960,97.5954695945872,37.0625,3
AGO,1961,103.55054205423,36.3125,4
AGO,1962,95.0006914508805,37.8125,4
AGO,1963,94.101248099967,35,3
AGO,1964,80.5271993797014,35.9375,2
AGO,1965,83.8514863372332,35,3.9375
AGO,1966,94.6398494976882,35.9375,4
AGO,1967,101.15712737523,35.9375,3.3125
AGO,1968,95.4140526584291,37.5625,2
AGO,1969,102.134740551066,35,4
AGO,1970,81.0313337241821,35.6875,4.8125
AGO,1971,83.3137386725401,36,4.1875
AGO,1972,81.7672024351112,35.6875,3.625
AGO,1973,89.4841819561668,36,4
AGO,1974,91.8105113946742,36,4
AGO,1975,86.8718633977295,35.125,4
AGO,1976,92.5710183315937,35.8125,3
AGO,1977,92.8480747126882,37.25,4
AGO,1978,87.019649353679,35.125,3.5625
AGO,1979,93.9334512594649,35.8125,4
AGO,1980,78.9425401947798,35.9375,4
AGO,1981,74.162973328699,35.8125,3.125
AGO,1982,82.0165263221308,35,4.25
AGO,1983,79.7192348574327,36,5
AGO,1984,80.9864940465084,36,4
AGO,1985,82.5515225460555,35.9375,4.25
AGO,1986,95.2627422137328,34.9375,4
AGO,1987,82.9533328542805,36.8125,4
AGO,1988,90.9920800001601,35.9375,4
AGO,1989,81.0508272277369,35.5625,4
AGO,1990,86.6085635586481,36.25,5
AGO,1991,89.9090203130829,35.8125,4
AGO,1992,77.8219534837968,36.875,5
AGO,1993,86.4149357433681,37,4.875
AGO,1994,81.8205207043707,36,4.375
AGO,1995,79.7126120476765,37,3
AGO,1996,82.9158533095025,37.125,4
AGO,1997,89.7301637503555,36,5
AGO,1998,85.9628820277015,37,6
AGO,1999,88.2844993306293,35.8125,5
AGO,2000,88.1028204364636,37,5
AGO,2001,87.6205375223129,36,4
AGO,2002,90.2226847952897,35.3125,6
AGO,2003,85.4750311202136,36.25,4.375
AGO,2004,88.4747270511623,36.6875,4
AGO,2005,84.8671325071333,38.875,5.5
AGO,2006,90.2981741466838,35.9375,4
AGO,2007,87.4018650043636,35.8125,4
AGO,2008,88.5879378604287,36.3125,4
AGO,2009,89.0722305477609,36.3125,4
AGO,2010,86.9279656679349,37,6
AGO,2011,88.1372540478388,35.875,4
AGO,2012,89.5841546649358,36,4
AGO,2013,86.6839814110085,35.9375,4
AGO,2014,88.8680882158924,36,4
AGO,2015,84.2570673047638,37.875,4
AGO,2016,86.0094426426148,38.125,4
AGO,2017,88.3645816757914,36,4.75
AGO,2018,88.5049151542699,36,4
AGO,2019,89.014178247187,38.125,4
AGO,2020,89.3077161700516,35.8125,4
AGO,2021,88.5989498914845,36,4
ALB,1960,118.222181255847,33.125,-7.5625
ALB,1961,82.4394313344897,32.5,-8.125
ALB,1962,116.722418183216,34.3125,-9.5
ALB,1963,119.495425714994,33.5625,-10.375
ALB,1964,99.188100644937,31.3125,-11.5
ALB,1965,85.2355952035032,32.75,-11.625
ALB,1966,113.268906833929,32.75,-9.125
ALB,1967,87.8145382083519,32.75,-10.0625
ALB,1968,105.479911340668,32,-10
ALB,1969,114.858822267537,31.3125,-8.0625
ALB,1970,102.163984508689,32.1875,-7.5
ALB,1971,97.3626052425542,32.9375,-7.125
ALB,1972,106.937219348523,30.5,-6
ALB,1973,103.059232978646,31.625,-7.375
ALB,1974,106.899637052225,32.25,-6.3125
ALB,1975,74.2868720376893,31.1875,-9.0625
ALB,1976,109.732652597107,30.375,-8.75
