iso3,countryname,pin_2018,pin_2019,pin_2020,pin_2021,pin_2022,pin_2023,source_2019,source_2020,source_2021,source_2022,source_2023
AFG,Afghanistan,10.6,6.41,14,18.4,24.42,28.4,ACAPS,ACAPS,ACAPS,ACAPS,ACAPS
AGO,Angola,0.1,,,1.35,1.59,1.59,,,ACAPS,ACAPS,ACAPS
ARG,Argentina,,,,,,,ACAPS,,,,
ARM,Armenia,,,,0.09,0.07,0.03,,ACAPS,ACAPS,ACAPS,ACAPS
AZE,Azerbaijan,,,,,,,,ACAPS,ACAPS,ACAPS,ACAPS
BDI,Burundi,3.602553,1.769125,1.74,2.4,2.4,1.8,HPC,HPC,ACAPS,ACAPS,ACAPS
BEN,Benin,0.06,,3,,,,,HPC,,,
BFA,Burkina Faso,0.253605,1.2,2.928111,3.533773,4.889324,4.65,HPC,HPC,HPC,HPC,HPC
BGD,Bangladesh,1.3,1.2,20.18,1.36,4.89,1.515698,HPC,HPC,ACAPS,ACAPS,HPC
BHS,Bahamas (the),,0.01,0.01,,,,ACAPS,ACAPS,,,
BIH,Bosnia and Herzegovina,,,,,,,ACAPS,,,,
BRA,Brazil,,0.22,0.26,0.49,0.48,0.32,ACAPS,ACAPS,ACAPS,ACAPS,ACAPS
CAF,Central African Republic,2.9,2.9,2.8,2.8,3.1,3.43,ACAPS,ACAPS,ACAPS,ACAPS,ACAPS
CHL,Chile,,,,,0.48,0.48,,,,ACAPS,ACAPS
CHN,China,,,4.69,0.2,,,,ACAPS,ACAPS,,
CMR,Cameroon,4.06,4.32,6.252268,4.406243,11.69,4.7,ACAPS,HPC,HPC,ACAPS,HPC
COD,Congo (the Democratic Republic of the),13.1,22.79,25.623884,19.616782,27.026244,26.429388,ACAPS,HPC,HPC,HPC,HPC
COG,Congo (the),0.16,0,1.7,1.2,1.2,0.04,ACAPS,HPC,ACAPS,ACAPS,ACAPS
COL,Colombia,4.9,5.2,10.4,8.5,7.7,7.711265,ACAPS,HPC,ACAPS,ACAPS,HPC
CRI,Costa Rica,0.12519,0.01,0.04,0.04,0.18,0.18,ACAPS,ACAPS,ACAPS,ACAPS,ACAPS
CUB,Cuba,,,,,1.09,,,,,HPC,
DJI,Djibouti,0.289338,0.33,1.15,0.31,0.23,0.24,ACAPS,HPC,ACAPS,ACAPS,ACAPS
DOM,Dominican Republic (the),,,,,0.1,0.1,,,,ACAPS,ACAPS
DZA,Algeria,0.125,,,,0.26,0.26,ACAPS,ACAPS,ACAPS,ACAPS,ACAPS
ECU,Ecuador,,0.39,9,0.42,0.87,0.87,ACAPS,HPC,ACAPS,ACAPS,ACAPS
EGY,Egypt,,0.07,0.13,1.44,2.67,0.15,ACAPS,ACAPS,ACAPS,ACAPS,ACAPS
ERI,Eritrea,0.0227,2.58,2.58,2.58,2.58,1.2,ACAPS,ACAPS,ACAPS,ACAPS,ACAPS
ESP,Spain,,,,0.12,0.16,0.17,ACAPS,,ACAPS,ACAPS,ACAPS
ETH,Ethiopia,7.9,8.864257,19.187694,23.902819,28.51,38.21,HPC,HPC,ACAPS,ACAPS,ACAPS
FJI,Fiji,,,,0.01,,,,,ACAPS,,
GMB,Gambia (the),0.062929,,,,0.05,0.05,,,,ACAPS,ACAPS
GRC,Greece,,0.04,0.08,0.02,0.02,0.02,ACAPS,ACAPS,ACAPS,ACAPS,ACAPS
GTM,Guatemala,1.6,6.46,3.3,3.8,3.8,5,ACAPS,ACAPS,ACAPS,ACAPS,ACAPS
HND,Honduras,0.5,0.97,1.3,3.3,3.3,3.2,ACAPS,ACAPS,ACAPS,ACAPS,ACAPS
HTI,Haiti,2.8,3.68,10.9,5.05,5.05,5.2,ACAPS,HPC,ACAPS,ACAPS,HPC
HUN,Hungary,,,,,1.59,0.03,,,,ACAPS,ACAPS
IDN,Indonesia,0.45,1.46,0.05,0.06,0.1,0.1,ACAPS,ACAPS,ACAPS,ACAPS,ACAPS
IND,India,,,1.83,,,,ACAPS,ACAPS,ACAPS,ACAPS,ACAPS
IRN,Iran (Islamic Republic of),,2.02,40.1,3.4,3.4,4.48,ACAPS,HPC,ACAPS,ACAPS,ACAPS
IRQ,Iraq,8.7,6.79,4.3,4.39,2.77,2.76,ACAPS,ACAPS,ACAPS,ACAPS,ACAPS
ITA,Italy,,,,0.21,0.24,0.25,ACAPS,,ACAPS,ACAPS,ACAPS
JOR,Jordan,1.417681,,1.4,1.46,0.78,0.78,ACAPS,HPC,ACAPS,ACAPS,ACAPS
KEN,Kenya,3.5,3.59,13.84,3.44,4.92,6.446835,ACAPS,HPC,ACAPS,ACAPS,HPC
LAO,Lao People's Democratic Republic (the),,0.04,,,,,ACAPS,,,,
LBN,Lebanon,3.740499,0.19,6,3.21,2.5,2.3,ACAPS,ACAPS,ACAPS,HPC,HPC
LBR,Liberia,0.015434,,4.44,,,,,HPC,,,
LBY,Libya,1.1,1.08,1.07,1.3,1.3,1.03,ACAPS,ACAPS,ACAPS,ACAPS,ACAPS
LKA,Sri Lanka,0.7,,,,7,7,,,,ACAPS,ACAPS
LSO,Lesotho,0.225,0.43,0.58,0.58,0.34,0.32,ACAPS,ACAPS,ACAPS,ACAPS,ACAPS
MAR,Morocco,,,,,0.02,0.02,ACAPS,ACAPS,ACAPS,ACAPS,ACAPS
MDA,Moldova (the Republic of),,,,,0.7,0.11,,,,ACAPS,ACAPS
MDG,Madagascar,1.261372,1.31,0.73,1.59,3.3,3.869329,ACAPS,ACAPS,HPC,HPC,HPC
MEX,Mexico,,,,,0.1,0.1,ACAPS,ACAPS,ACAPS,ACAPS,ACAPS
MLI,Mali,5.2,3.9,6.807194,5.917269,7.522833,8.8,ACAPS,HPC,HPC,HPC,ACAPS
MMR,Myanmar,0.863,0.941,0.986,3.7,14.41,17.619805,HPC,HPC,ACAPS,ACAPS,HPC
MNG,Mongolia,,,,,,0.213,,,,,HPC
MOZ,Mozambique,2.1,3.28,7.8,4.11,2.49,2.3,ACAPS,ACAPS,ACAPS,ACAPS,ACAPS
MRT,Mauritania,0.83,0.28,0.06,0.09,0.1,0.1,ACAPS,ACAPS,ACAPS,ACAPS,ACAPS
MWI,Malawi,,3.31,2.62,2.64,4.5,4.847562,ACAPS,ACAPS,ACAPS,ACAPS,HPC
MYS,Malaysia,,,,0.18,0.19,0.18,,,ACAPS,ACAPS,ACAPS
NAM,Namibia,0.3,,0.44,0.75,0.75,0.75,,ACAPS,ACAPS,ACAPS,ACAPS
NER,Niger (the),2.449484,2.3,3.7,3.821659,3.82,4.3,HPC,ACAPS,HPC,ACAPS,HPC
NGA,Nigeria,7.7,9.86,10.6,16.37,19.16,19.16,ACAPS,ACAPS,ACAPS,ACAPS,ACAPS
NIC,Nicaragua,,0.3,,,,,ACAPS,ACAPS,ACAPS,ACAPS,ACAPS
NPL,Nepal,4.6,0.13,,4.9,,,ACAPS,,HPC,,
PAK,Pakistan,3.2,7.9,6.71,11,23.6,20.6,HPC,HPC,ACAPS,ACAPS,ACAPS
PAN,Panama,,0,,,0.09,0.07,ACAPS,,,ACAPS,ACAPS
PER,Peru,0.32,0.73,0.89,1.31,1.7,1.7,ACAPS,ACAPS,ACAPS,ACAPS,ACAPS
PHL,Philippines (the),0.898339,0.4,39,2.52,2.7,0.23,ACAPS,HPC,ACAPS,ACAPS,ACAPS
PNG,Papua New Guinea,0.27,0,,,0.27,0.26,ACAPS,,,ACAPS,ACAPS
POL,Poland,,,,,7.58,1.56,,,,ACAPS,ACAPS
PRK,Korea (the Democratic People's Republic of),10.3,10.9,10.9,10.43,10.43,10.43,ACAPS,ACAPS,ACAPS,ACAPS,ACAPS
PSE,"Palestine, State of",2.5,2.5,2.5,3.81,2.36,2.1,ACAPS,ACAPS,ACAPS,ACAPS,ACAPS
ROU,Romania,,,,,1.56,0.11,,,,ACAPS,ACAPS
RWA,Rwanda,0.235,0.15,0.15,0.14,0.14,0.13,ACAPS,ACAPS,ACAPS,ACAPS,ACAPS
SDN,Sudan (the),7.1,8.5,12.2,14.3,15.8,15.8,ACAPS,ACAPS,ACAPS,ACAPS,ACAPS
SEN,Senegal,1.046883,0.38,0.51,0.51,0.88,0.88,ACAPS,ACAPS,ACAPS,ACAPS,ACAPS
SLE,Sierra Leone,0.012,,,,,,,,,,
SLV,El Salvador,,0.3,0.64,1.7,1.7,1.7,ACAPS,ACAPS,ACAPS,ACAPS,ACAPS
SOM,Somalia,5.4,5.4,5.3,7.74,7.846888,8.250301,ACAPS,ACAPS,ACAPS,HPC,HPC
SSD,South Sudan,7,7.26,7.5,8.310533,12.52,12.52,ACAPS,HPC,HPC,ACAPS,ACAPS
SVK,Slovakia,,,,,0.95,0.11,,,,ACAPS,ACAPS
SWZ,Swaziland,0.177,,0.37,0.37,0.34,0.26,,ACAPS,ACAPS,ACAPS,ACAPS
SYR,Syrian Arab Republic,13.1,11.71,11.71,13.4,14.560823,15.334271,ACAPS,ACAPS,ACAPS,HPC,ACAPS
TCD,Chad,4.859413,4.269261,6.4,6.4,6.4,6.9,HPC,ACAPS,ACAPS,ACAPS,HPC
