iso3,lon,lat
IDN,117.27043334,-2.222961
MYS,109.69886844,3.79239285
CHL,-71.36437464,-37.74360562
BOL,-64.68475373,-16.70687681
PER,-74.37806457,-9.15438848
ARG,-65.17819064,-35.38755136
CYP,33.22710169,35.04804195
IND,79.26822724,22.76926756
CHN,103.9662147,36.52169689
ISR,34.94980172,31.34465508
PSE,35.19781236,31.91608338
LBN,35.87993656,33.92035933
ETH,39.60055103,8.62295174
SSD,30.32688043,7.27005673
SOM,45.85083146,6.06265159
KEN,37.83814987,0.52624298
PAK,69.34134311,29.94849683
MWI,34.2899078,-13.21722587
TZA,34.81358642,-6.27509748
SYR,38.48594238,35.00951666
FRA,-2.75522119,42.18010698
SUR,-55.91107136,4.13124498
GUY,-58.98011465,4.79346187
KOR,127.81909397,36.37335355
PRK,127.18377778,40.15064274
MAR,-6.29346945,31.8430024
CRI,-84.19359756,9.97330952
NIC,-85.03333837,12.8453926
COG,15.21833616,-0.83887999
ZAR,23.64511365,-2.87979987
BTN,90.4044602,27.42175656
UKR,31.38574756,48.99736906
BLR,28.0335664,53.53188048
NAM,17.2111332,-22.12924664
ZAF,25.08736444,-29.00103218
MAF,-63.05507063,18.07762062
SXM,-63.0701327,18.04063048
OMN,56.09265654,20.60180565
UZB,63.13990889,41.75603587
KAZ,67.28699932,48.15565063
TJK,71.01583424,38.52988565
LTU,23.88824902,55.32702364
BRA,-53.09248235,-10.78085885
URY,-56.0171551,-32.79821075
MNG,103.05628666,46.82580607
RUS,96.6841032,61.98786422
CZE,15.3141031,49.73244821
DEU,10.38149384,51.10636349
EST,25.53579321,58.67101415
LVA,24.90862243,56.85181948
NOR,15.40959916,68.79427292
SWE,16.75446643,62.77709986
FIN,26.25561184,64.48483271
VNM,106.30093524,16.64218284
KHM,104.90280421,12.71556248
LUX,6.07176397,49.76682428
ARE,54.3007956,23.90578306
BEL,4.63996051,50.63746163
GEO,43.50752633,42.16880078
MKD,21.68383041,41.59500493
ALB,20.0538192,41.14248206
AZE,47.54211125,40.28911904
XXK,20.87374319,42.57288339
TUR,35.16723939,39.06108062
ESP,-3.65263702,40.2272337
LAO,103.7378722,18.50230147
KGZ,74.54166939,41.46191866
ARM,44.93230122,40.28813415
DNK,10.0513897,55.96537746
LBY,18.00960512,27.03027798
TUN,9.55462625,34.11940522
ROM,24.97294185,45.8534641
HUN,19.39675927,47.16324369
SVK,19.48038297,48.7049353
POL,19.39432214,52.12477182
IRL,-8.14504467,53.17822137
GBR,-2.88695152,54.14704819
GRC,22.97481893,39.05118118
ZMB,27.77421234,-13.46011002
SLE,-11.79501558,8.56308584
GIN,-10.94306127,10.43464905
LBR,-9.31986399,6.45223255
CAF,20.4648092,6.56632186
SDN,29.94836958,16.02256313
DJI,42.56645365,11.75015588
ERI,38.85294445,15.35751373
AUT,14.13067289,47.58565692
IRQ,43.74497702,33.03980378
ITA,12.07190709,42.786434
CHE,8.21535366,46.79895687
IRN,54.27694673,32.57067818
LIE,9.54090029,47.13820643
CIV,-5.56900019,7.62796652
SRB,20.79040247,44.22137592
MLI,-3.53907941,17.34416279
SEN,-14.47130603,14.36778858
NGA,8.09123928,9.59531483
BEN,2.32874073,9.64121669
AGO,17.53698501,-12.29231569
HRV,16.39854884,45.06772617
SVN,14.80808962,46.11611098
QAT,51.18683129,25.31307459
SAU,44.53686368,24.12232707
BWA,23.79898673,-22.18577232
ZWE,29.85188462,-19.00253671
BGR,25.21751251,42.76852261
THA,101.00333333,15.1144
SMR,12.44222256,43.93646619
HTI,-72.69087406,18.93837144
DOM,-70.49658654,18.89636587
TCD,18.64625111,15.33307811
KWT,47.5946235,29.34004209
SLV,-88.87103252,13.73584955
GTM,-90.36015746,15.69601648
TMP,125.85107557,-8.82377873
BRN,114.72724575,4.51650031
MCO,7.39897432,43.73984619
DZA,2.65309138,28.14888966
MOZ,35.53810553,-17.27001003
SWZ,31.4800241,-26.56191435
BDI,29.87508269,-3.35742534
RWA,29.9190607,-1.99275053
MMR,96.48928941,21.16766986
BGD,90.24200002,23.84567735
ADO,1.56075624,42.54132652
AFG,66.00844769,33.83626707
MNE,19.23850029,42.78581805
BIH,17.77340802,44.17173406
UGA,32.36703985,1.27569119
USA1,-75.15467341,19.9292536
CUB,-79.03521176,21.62529805
HND,-86.62522746,14.82100942
ECU,-78.77228231,-1.42624147
COL,-73.0838421,3.90941305
PRY,-58.39842281,-23.22751882
PRT,-8.59083759,39.58714686
MDA,28.46139713,47.19510149
TKM,59.37596074,39.1159339
JOR,36.7709218,31.24557414
NPL,83.91625344,28.24792219
LSO,28.22862293,-29.57973044
CMR,12.73698417,5.69305821
GAB,11.78956926,-0.59165592
NER,9.386034,17.41846377
BFA,-1.7555277,12.26955391
TGO,0.9622716,8.52678821
GHA,-1.21652383,7.95395472
GNB,-14.97751375,12.0269219
GIB,-5.34670032,36.12946367
USA,-112.49572607,45.68811344
CAN,-98.29390431,61.3764628
MEX,-102.53030787,23.9491712
BLZ,-88.69388853,17.20831869
PAN,-80.12129495,8.51455697
VEN,-66.16884026,7.12773154
PNG,145.23152362,-6.4701206
EGY,29.86120871,26.49291963
YEM,47.59060193,15.90542129
MRT,-10.34339788,20.25621813
GNQ,10.33288546,1.70696104
GMB,-15.39758203,13.44972956
HKG,114.13144689,22.38463689
VAT,12.45341773,41.90331247
AUS,134.49111533,-25.73230624
GRL,-41.34573937,74.73599062
FJI,163.40784762,-17.44756192
NCL,165.70265475,-21.30434015
MDG,46.70599831,-19.37316753
PHL,122.87448426,11.76301505
LKA,80.70316284,7.61591405
CUW,-68.97130561,12.19382109
ABW,-69.97420075,12.51693527
BHS,-76.55125222,24.22280928
TCA,-71.8733066,21.78004538
JPN,137.97834761,37.5511774
SPM,-56.30781354,46.93045795
ISL,-18.59644593,64.99831582
PCN,-128.47926706,-24.41276999
PYF,-145.05204038,-15.18877958
ATF,68.99213405,-49.06515148
SYC,52.06229188,-6.48999051
KIR,-51.52532494,0.61518571
MHL,170.09952797,7.11446518
TTO,-61.25844984,10.46882986
GRD,-61.65668238,12.1533724
VCT,-61.20335327,13.21621592
BRB,-59.56121775,13.18105383
LCA,-60.97031653,13.90267055
DMA,-61.35691759,15.43644049
MSR,-62.18739879,16.73752357
ATG,-61.79173246,17.28438023
KNA,-62.69854545,17.27104226
VIR,-64.79765445,17.98054561
BLM,-62.83261963,17.90558452
PRI,-66.46760029,18.22381647
AIA,-63.05857125,18.22569251
VGB,-64.50286318,18.50988414
