iso3,year,value
AFG,2018,10.6
AFG,2019,6.41
AFG,2020,14
AFG,2021,18.4
AFG,2022,24.42
AFG,2023,28.4
AGO,2018,0.1
AGO,2021,1.35
AGO,2022,1.59
AGO,2023,1.59
ARM,2021,0.09
ARM,2022,0.07
ARM,2023,0.03
BDI,2018,3.602553
BDI,2019,1.769125
BDI,2020,1.74
BDI,2021,2.4
BDI,2022,2.4
BDI,2023,1.8
BEN,2018,0.06
BEN,2020,0
BFA,2018,0.253605
BFA,2019,1.2
BFA,2020,2.928111
BFA,2021,3.533773
BFA,2022,4.889324
BFA,2023,4.65
BGD,2018,1.3
BGD,2019,1.2
BGD,2020,0
BGD,2021,1.36
BGD,2022,4.89
BGD,2023,1.515698
BHS,2019,0.01
BHS,2020,0.01
BRA,2019,0.22
BRA,2020,0.26
BRA,2021,0.49
BRA,2022,0.48
BRA,2023,0.32
CAF,2018,2.9
CAF,2019,2.9
CAF,2020,2.8
CAF,2021,2.8
CAF,2022,3.1
CAF,2023,3.43
CHL,2022,0.48
CHL,2023,0.48
CHN,2020,4.69
CHN,2021,0.2
CMR,2018,4.06
CMR,2019,4.32
CMR,2020,6.252268
CMR,2021,4.406243
CMR,2022,11.69
CMR,2023,4.7
COD,2018,13.1
COD,2019,22.79
COD,2020,25.623884
COD,2021,19.616782
COD,2022,27.026244
COD,2023,26.429388
COG,2018,0.16
COG,2019,0
COG,2020,0
COG,2021,1.2
COG,2022,1.2
COG,2023,0.04
COL,2018,4.9
COL,2019,5.2
COL,2020,10.4
COL,2021,8.5
COL,2022,7.7
COL,2023,7.711265
CRI,2018,0.12519
CRI,2019,0.01
CRI,2020,0.04
CRI,2021,0.04
CRI,2022,0.18
CRI,2023,0.18
CUB,2022,1.09
DJI,2018,0.289338
DJI,2019,0.33
DJI,2020,0
DJI,2021,0.31
DJI,2022,0.23
DJI,2023,0.24
DOM,2022,0.1
DOM,2023,0.1
DZA,2018,0.125
DZA,2022,0.26
DZA,2023,0.26
ECU,2019,0.39
ECU,2020,0
ECU,2021,0.42
ECU,2022,0.87
ECU,2023,0.87
EGY,2019,0.07
EGY,2020,0.13
EGY,2021,1.44
EGY,2022,2.67
EGY,2023,0.15
ERI,2018,0.0227
ERI,2019,2.58
ERI,2020,2.58
ERI,2021,2.58
ERI,2022,2.58
ERI,2023,1.2
ESP,2021,0.12
ESP,2022,0.16
ESP,2023,0.17
ETH,2018,7.9
ETH,2019,8.864257
ETH,2020,19.187694
ETH,2021,23.902819
ETH,2022,28.51
ETH,2023,38.21
FJI,2021,0.01
GMB,2018,0.062929
GMB,2022,0.05
GMB,2023,0.05
GRC,2019,0.04
GRC,2020,0.08
GRC,2021,0.02
GRC,2022,0.02
GRC,2023,0.02
GTM,2018,1.6
GTM,2019,6.46
GTM,2020,3.3
GTM,2021,3.8
GTM,2022,3.8
GTM,2023,5
HND,2018,0.5
HND,2019,0.97
HND,2020,1.3
HND,2021,3.3
HND,2022,3.3
HND,2023,3.2
HTI,2018,2.8
HTI,2019,3.68
HTI,2020,10.9
HTI,2021,5.05
HTI,2022,5.05
HTI,2023,5.2
HUN,2022,1.59
HUN,2023,0.03
IDN,2018,0.45
IDN,2019,1.46
IDN,2020,0.05
IDN,2021,0.06
IDN,2022,0.1
IDN,2023,0.1
IND,2020,1.83
IRN,2019,2.02
IRN,2020,0
IRN,2021,3.4
IRN,2022,3.4
IRN,2023,4.48
IRQ,2018,8.7
IRQ,2019,6.79
IRQ,2020,4.3
IRQ,2021,4.39
IRQ,2022,2.77
IRQ,2023,2.76
ITA,2021,0.21
ITA,2022,0.24
ITA,2023,0.25
JOR,2018,1.417681
JOR,2020,0
JOR,2021,1.46
JOR,2022,0.78
JOR,2023,0.78
KEN,2018,3.5
KEN,2019,3.59
KEN,2020,0
KEN,2021,3.44
KEN,2022,4.92
KEN,2023,6.446835
LAO,2019,0.04
LBN,2018,3.740499
LBN,2019,0.19
LBN,2020,0
LBN,2021,3.21
LBN,2022,2.5
LBN,2023,2.3
LBR,2018,0.015434
LBR,2020,0
LBY,2018,1.1
LBY,2019,1.08
LBY,2020,1.07
LBY,2021,1.3
LBY,2022,1.3
LBY,2023,1.03
LKA,2018,0.7
LKA,2022,7
LKA,2023,7
LSO,2018,0.225
LSO,2019,0.43
LSO,2020,0.58
LSO,2021,0.58
LSO,2022,0.34
LSO,2023,0.32
MAR,2022,0.02
MAR,2023,0.02
MDA,2022,0.7
MDA,2023,0.11
MDG,2018,1.261372
MDG,2019,1.31
MDG,2020,0.73
MDG,2021,1.59
MDG,2022,3.3
MDG,2023,3.869329
MEX,2022,0.1
MEX,2023,0.1
MLI,2018,5.2
MLI,2019,3.9
MLI,2020,6.807194
MLI,2021,5.917269
