humanitarian,humanitarian_needs,conflict,temp,nb_conflict,YMHEP,lpop,lGDPcap,ltsc0,nc,ncc1,ncc2,ltsnc,ncts0,lpop.1,lGDPcap_ltsc0,ltimeindep
0,0,2,64,1,0.428826511,9.932821274,6.450678825,0,1,0,1,2.302585125,0,9.932821274,0,4.394449234
0,0,2,64,1,0.432081819,9.96870327,6.339198589,0,1,0,1,2.397895336,0,9.96870327,0,4.406719208
1,1763894630,0,64,0,0.435332447,10.00797367,6.634403706,0,0,0,0,2.484906673,0,10.00797367,0,4.418840408
1,270590000,1,64,0,0.438578159,10.04828644,6.675156593,0,0,0,0,0,0,10.04828644,0,4.43081665
1,72841021,1,64,1,0.441818774,10.08658695,6.647356033,0,1,1,0,0.693147182,0,10.08658695,0,4.442651272
0,0,2,64,1,0.445054054,10.12104988,6.718831539,0,1,1,0,0,0,10.12104988,0,4.454347134
1,76391754,2,64,1,0.448283821,10.15156841,6.742365837,0,1,0,1,0.693147182,0,10.15156841,0,4.465908051
0,0,2,64,1,0.451507866,10.17919445,6.843486786,0,1,0,1,1.098612309,0,10.17919445,0,4.477336884
1,485640982,2,64,2,0.454725981,10.20478344,6.853374481,0,1,0,1,1.386294365,0,10.20478344,0,4.488636494
1,603981153,2,64,2,0.457937986,10.2294836,7.0194664,0,1,0,1,1.609437943,0,10.2294836,0,4.499809742
1,870561261,2,64,2,0.461143672,10.35493755,7.077876568,0,1,0,1,1.791759491,0,10.35493755,0,4.510859489
1,678632984,2,64,2,0.482641011,10.37971687,7.10748148,0,1,0,1,1.945910096,0,10.37971687,0,4.521788597
1,437140634,2,64,2,0.504138291,10.40389729,7.134879589,0,1,0,1,2.079441547,0,10.40389729,0,4.532599449
1,471463529,2,64,2,0.52563566,10.42750645,7.160318375,0,1,0,1,2.197224617,0,10.42750645,0,4.543294907
1,406429895,0,64,0,0.547132969,10.45057201,7.184008121,0,0,0,0,2.302585125,0,10.45057201,0,4.553876877
1,258515854,2,39,2,0.108137973,9.541436195,7.814577579,0,1,0,1,1.386294365,0,9.541436195,0,3.218875885
1,225846859,2,39,1,0.111727521,9.573961258,7.812988758,0,1,0,1,1.609437943,0,9.573961258,0,3.258096457
1,232768666,1,39,1,0.115380891,9.608215332,7.914056778,0,1,0,1,1.791759491,0,9.608215332,0,3.295836926
1,386846451,0,39,0,0.119097449,9.643490791,7.911328793,0,0,0,0,1.945910096,0,9.643490791,0,3.33220458
1,262587702,1,39,0,0.122876525,9.678887367,7.981936932,0,0,0,0,0,0,9.678887367,0,3.367295742
1,3556000,0,39,0,0.126717389,9.713801384,8.114751816,0,0,0,0,0.693147182,0,9.713801384,0,3.401197433
0,0,0,39,1,0.130619258,9.748143196,8.268837929,0,1,0,0,1.098612309,0,9.748143196,0,3.433987141
0,0,1,39,1,0.134581357,9.782044411,8.438637733,0.693147181,1,0,0,0,0,9.782044411,5.849217953,3.465735912
0,0,0,39,1,0.138602823,9.815444946,8.534659386,0,1,1,0,0.693147182,0,9.815444946,0,3.496507645
