timeindep,conflict,ltsc0,Dec-50,Dec-60,Dec-70,Dec-80,Dec-90,Dec-00,region,nb_conflict,ncts0,nc2l,timeinstatusnc,ltisnc,ltsnc,ltimeindep,temperature,prec_gpcc,temptemp,tempmean,tempdev,YMHEP,YMHEP_ltsc0,lpop,lGDPcap,lpop_ltsc0,lGDPcap_ltsc0
179,0,4.543294782,0,1,0,0,0,0,3,0,4.543294907,0,12,11,2.397895336,5.187386036,6.815979481,178.0453796,,6.923662186,-0.107682705,0.874264061,3.972039461,12.13544559,9.646597862,55.13490677,43.82733917
180,0,4.553876892,0,1,0,0,0,0,3,0,4.553876877,0,13,12,2.484906673,5.192956924,6.535547256,190.0990448,,6.923662186,-0.388114929,0.87551719,3.986997604,12.15096283,9.652760506,55.33398819,43.95748138
181,0,4.564348191,0,1,0,0,0,0,3,0,4.564348221,0,14,13,2.564949274,5.198496819,7.000463963,173.3135681,,6.923662186,0.076801777,0.876804411,4.002040863,12.16565228,9.696592331,55.52827454,44.25862503
182,0,4.574710979,0,1,0,0,0,0,3,0,4.574710846,0,15,14,2.639057398,5.204006672,7.064602375,168.5207825,,6.923662186,0.140940189,0.878125548,4.017170429,12.17947578,9.725259781,55.7175827,44.49025345
183,0,4.584967479,0,1,0,0,0,0,3,0,4.584967613,0,16,15,2.708050251,5.209486008,6.323387623,180.5627136,,6.923662186,-0.600274563,0.879480183,4.03238821,12.19242001,9.767749786,55.90184784,44.78481674
184,0,4.59511985,0,1,0,0,0,0,3,0,4.595119953,0,17,16,2.77258873,5.21493578,6.525150299,184.9750671,,6.923662186,-0.398511887,0.880868077,4.047694206,12.20450211,9.81728363,56.08115005,45.11159515
185,0,4.605170186,0,1,0,0,0,0,3,0,4.60517025,0,18,17,2.833213329,5.220355988,6.283717155,167.1952667,,6.923662186,-0.63994503,0.882288933,4.063090801,12.21571159,9.868709564,56.25543213,45.44708633
186,0,4.615120517,0,1,0,0,0,0,3,0,4.615120411,0,19,18,2.890371799,5.225746632,6.928987503,182.1340637,,6.923662186,0.005325317,0.883742392,4.078577518,12.22610569,9.882513046,56.42494965,45.60898972
187,0,4.624972813,0,1,0,0,0,0,3,0,4.62497282,0,20,19,2.944438934,5.231108665,6.497514725,174.7581787,,6.923662186,-0.426147461,0.885228217,4.094156265,12.23586369,9.919411659,56.59053802,45.87701035
188,0,4.634728988,0,1,0,0,0,0,3,0,4.634728909,0,21,20,2.995732307,5.236442089,6.796642303,177.2169952,,6.923662186,-0.127019882,0.886746168,4.109827995,12.24521637,9.940169334,56.75325775,46.06999207
189,0,4.644390899,0,0,1,0,0,0,3,0,4.64439106,0,22,21,3.044522524,5.241746902,6.576067924,179.4297485,,6.923662186,-0.347594261,0.888295889,4.125593185,12.25434494,9.930517197,56.91396713,46.12120438
190,0,4.65396035,0,0,1,0,0,0,3,0,4.653960228,0,23,22,3.091042519,5.247024059,6.148836136,182.085556,6.148836136,6.923662186,-0.77482605,0.889877141,4.141452789,12.26331043,9.951869011,57.0729599,46.31560516
