year,region,timeindep,ltimeindep,conflict,conflict lagged,timeinstatus,ltsc0,ltsc1,ltsc2,nb_conflict,timeinstatusnc,ltsnc,temp,temperature,YMHEP,lpop,lGDPcap
1960,3,179,5.187386036,0,-99,95,4.543294782,0,0,0,12,2.397895336,64,6.815979481,0.874264061,12.13544559,9.646597862
1961,3,180,5.192956924,0,0,96,4.553876892,0,0,0,13,2.484906673,64,6.535547256,0.87551719,12.15096283,9.652760506
1962,3,181,5.198496819,0,0,97,4.564348191,0,0,0,14,2.564949274,64,7.000463963,0.876804411,12.16565228,9.696592331
1963,3,182,5.204006672,0,0,98,4.574710979,0,0,0,15,2.639057398,64,7.064602375,0.878125548,12.17947578,9.725259781
1964,3,183,5.209486008,0,0,99,4.584967479,0,0,0,16,2.708050251,64,6.323387623,0.879480183,12.19242001,9.767749786
1965,3,184,5.21493578,0,0,100,4.59511985,0,0,0,17,2.77258873,64,6.525150299,0.880868077,12.20450211,9.81728363
1966,3,185,5.220355988,0,0,101,4.605170186,0,0,0,18,2.833213329,64,6.283717155,0.882288933,12.21571159,9.868709564
1967,3,186,5.225746632,0,0,102,4.615120517,0,0,0,19,2.890371799,64,6.928987503,0.883742392,12.22610569,9.882513046
1968,3,187,5.231108665,0,0,103,4.624972813,0,0,0,20,2.944438934,64,6.497514725,0.885228217,12.23586369,9.919411659
1969,3,188,5.236442089,0,0,104,4.634728988,0,0,0,21,2.995732307,64,6.796642303,0.886746168,12.24521637,9.940169334
1970,3,189,5.241746902,0,0,105,4.644390899,0,0,0,22,3.044522524,64,6.576067924,0.888295889,12.25434494,9.930517197
1971,3,190,5.247024059,0,0,106,4.65396035,0,0,0,23,3.091042519,64,6.148836136,0.889877141,12.26331043,9.951869011
1972,3,191,5.25227356,0,0,107,4.663439094,0,0,0,24,3.135494232,64,6.185442448,0.891489685,12.2721386,9.994911194
1973,3,192,5.257495403,0,0,108,4.672828834,0,0,0,25,3.178053856,64,6.786785126,0.893133163,12.28093338,10.04279613
1974,3,193,5.262690067,0,0,109,4.682131227,0,0,0,26,3.218875885,64,6.542728901,0.894807398,12.28980446,10.02845287
1975,3,194,5.267858028,0,0,110,4.691347882,0,0,0,27,3.258096457,64,6.156349659,0.896512151,12.29883003,10.01663113
1976,3,195,5.272999763,0,0,111,4.700480366,0,0,0,28,3.295836926,64,6.490581036,0.894403577,12.30806541,10.05989933
1977,3,196,5.278114796,0,0,112,4.709530201,0,0,0,29,3.33220458,64,7.152793884,0.892321169,12.31751442,10.09517956
1978,3,197,5.283203602,0,0,113,4.718498871,0,0,0,30,3.367295742,64,6.897735119,0.890264571,12.32713223,10.13932323
1979,3,198,5.288267136,0,0,114,4.727387819,0,0,0,31,3.401197433,64,6.599925518,0.888233304,12.33684635,10.15927982
1980,3,199,5.29330492,0,0,115,4.736198448,0,0,0,32,3.433987141,64,7.04458046,0.886226892,12.34660149,10.14680672
1981,3,200,5.298317432,0,0,116,4.744932128,0,0,0,33,3.465735912,64,7.785675526,0.885096192,12.35639381,10.16208744
1982,3,201,5.303304672,0,0,117,4.753590191,0,0,0,34,3.496507645,64,6.385216236,0.883969367,12.36624432,10.1325531
1983,3,202,5.308267593,0,0,118,4.762173935,0,0,0,35,3.526360512,64,6.837857246,0.882846415,12.37615299,10.1675787
1984,3,203,5.313206196,0,0,119,4.770684624,0,0,0,36,3.555348158,64,6.604970455,0.881727338,12.38612366,10.22839832
1985,3,204,5.318120003,0,0,120,4.779123493,0,0,0,37,3.583518982,64,6.473376274,0.880612135,12.39615536,10.25983429
1986,3,205,5.323009968,0,0,121,4.787491743,0,0,0,38,3.610917807,64,7.400349617,0.881018639,12.40627003,10.28429127
1987,3,206,5.327876091,0,0,122,4.795790546,0,0,0,39,3.637586117,64,7.531731129,0.88143295,12.41646576,10.30653286
1988,3,207,5.332718849,0,0,123,4.804021045,0,0,0,40,3.663561583,64,7.16021347,0.88185519,12.42669773,10.33763504
1989,3,208,5.337538242,0,0,124,4.812184355,0,0,0,41,3.68887949,64,6.788827896,0.882285357,12.43691254,10.36322021
1990,3,209,5.34233427,0,0,125,4.820281566,0,0,0,42,3.713572025,64,7.299379826,0.88272357,12.44708252,10.3703146
1991,3,210,5.34710741,0,0,126,4.828313737,0,0,0,43,3.737669706,64,7.405079365,0.881787539,12.45713043,10.35433578
1992,3,211,5.351858139,0,0,127,4.836281907,0,0,0,44,3.76120019,64,6.796096325,0.88085252,12.46709824,10.3739481
1993,3,212,5.356586456,0,0,128,4.844187086,0,0,0,45,3.784189701,64,6.974987984,0.879918516,12.47720718,10.38908195
1994,3,213,5.361292362,0,0,129,4.852030264,0,0,1,1,3.80666256,64,7.066156387,0.878985524,12.4877491,10.41714096
1995,3,214,5.365975857,0,0,130,4.859812404,0,0,0,1,0,64,7.194560528,0.878053486,12.49888992,10.43040276
1996,3,215,5.370637894,0,0,131,4.86753445,0,0,1,1,0,64,6.462872028,0.874784172,12.51072788,10.45593071
1997,3,216,5.375278473,0,0,132,4.875197323,0,0,0,1,0,64,7.077570438,0.871796966,12.52309418,10.48796272
1998,3,217,5.379897118,0,0,133,4.882801923,0,0,0,2,0,64,7.991200924,0.869102001,12.53556919,10.51937866
1999,3,218,5.384495258,0,0,134,4.890349128,0,0,0,3,0.693147182,64,7.07382822,0.866709888,12.54760075,10.55543613
2000,3,219,5.389071941,0,0,135,4.8978398,0,0,0,4,1.098612309,64,7.394153118,0.864631832,12.55882072,10.58519363
2001,3,220,5.393627644,2,0,1,4.905274778,0,0,0,5,1.386294365,64,7.462082863,0.863202453,12.5690918,10.5861702
2002,3,221,5.398162842,0,2,1,0,0,0,0,6,1.609437943,64,7.646831036,0.862735569,12.5785675,10.59500694
2003,3,222,5.402677536,0,0,2,0,0,0,0,7,1.791759491,64,7.556499481,0.863300025,12.58752823,10.61161804
2004,3,223,5.407171726,0,0,3,0.693147181,0,0,0,8,1.945910096,64,7.51755476,0.864970922,12.59638119,10.63656902
2005,3,224,5.411645889,0,0,4,1.098612289,0,0,0,9,2.079441547,64,7.656632423,0.867830157,12.60540485,10.65764523
2006,3,225,5.416100502,0,0,5,1.386294361,0,0,0,10,2.197224617,64,7.664004326,0.870350301,12.61467552,10.67424583
2007,3,226,5.420535088,0,0,6,1.609437912,0,0,0,11,2.302585125,64,7.733337879,0.872888505,12.62408161,10.68362808
2008,3,227,5.424950123,0,0,7,1.791759469,0,0,0,12,2.397895336,64,6.729101658,0.875444829,12.63348579,10.67057228
2009,3,228,5.429345608,0,0,8,1.945910149,0,0,0,13,2.484906673,64,6.940497398,0.878019631,12.64268684,10.63022137
