humanitarian_needs,pop,displaced_persons,tmax,prec,conflict,iso3,year
487757424,33.7697103207991,3263053,33.4895833333333,336.456893016821,1,AFG,2013
487757424,38.9725088892537,3263872,30.5078125,483.019421214213,1,AFG-TKM,2013
23114033,20.6823129716612,11716,33.6998132069906,1040.2077769321,0,AGO,2013
0,3.22375727906455,19875,22.8329861164093,1193.9455576468,0,ALB,2013
0,14.6623044003376,20063,23.8501869837443,1847.93312117483,0,ALB-GRC,2013
0,3.86004556817188,20994,22.1920612653097,2622.73615896843,0,ALB-MNE,2013
0,8.9913168562381,125,36.6875,79.6022175443277,0,ARE,2013
0,38.4974952420582,892,38.2161458333333,176.746413665977,0,ARE-SAU,2013
4376905,41.329799694378,452,31.5572916666667,473.067072070237,0,ARG,2013
5334759,240.874585023423,1985,33.6171875,2256.12165857444,0,ARG-BRA,2013
6726569,48.0812869564521,571,32.4765625,1482.65892266572,0,ARG-PRY,2013
4376905,44.715506120173,618,28.5963541666667,1609.4909217413,0,ARG-URY,2013
2429550,3.08566632821618,17358,19.1302083333333,504.607237380848,0,ARM,2013
19007118,79.5430237156703,121199,28.4088541666667,704.631205826544,0,ARM-IRN,2013
0,23.4051551038959,32,38.96875,427.21016094182,0,AUS,2013
0,8.49421872965352,15,16.2760416666667,1154.19488882017,0,AUT,2013
0,16.3047475818862,26,15.921875,2492.61432415589,0,AUT-CHE,2013
0,69.7613418253952,156,20.1727430423101,1975.60052508702,0,AUT-ITA,2013
0,10.5464494288387,53,17.2229568163554,2841.23850469364,0,AUT-SVN,2013
957364,9.49301351991111,623450,22.2291666666667,454.359641638471,0,AZE,2013
3386914,12.5786798481273,640808,20.6796875,958.966879019319,0,AZE-ARM,2013
17534932,85.9503709073653,727291,29.9583333333333,654.383610084167,0,AZE-IRN,2013
206076138,84.6853806363578,700560,25.2791666984558,983.423683588348,1,AZE-TUR,2013
22431066,9.08744611149569,165980,30.6770833333333,1190.77386966904,0,BDI,2013
41906363,20.5650775566627,258406,28.9296875,2395.68949577608,0,BDI-RWA,2013
0,10.8953155480161,107,14.7447917064031,836.009071948755,0,BEL,2013
0,27.7083787815053,191,14.5550595323245,1580.68344170366,0,BEL-NLD,2013
3113388,9.56800970023512,795,36.7552083333333,962.597615102606,0,BEN,2013
105282940,27.3665025542489,3310,37.6354166666667,1747.69218159639,0,BEN-BFA,2013
301810083,26.638812830069,1888,38.703125,1118.65643836983,0,BEN-NER,2013
5010307,15.9405691226079,12604,36.2057291666667,2063.47084718518,0,BEN-TGO,2013
102169552,17.7984928540137,2515,38.515625,785.094566493781,0,BFA,2013
105241875,43.7534817396143,28540,37.1145833333333,1930.84079514076,0,BFA-GHA,2013
104066471,24.1710522763865,14324,37.0859375,1885.96779857635,0,BFA-TGO,2013
33396841,153.314210998187,32577,31.65625,1996.49012378914,0,BGD,2013
1436729,7.35497264615201,2052,20.8729967276255,573.934459262899,0,BGR,2013
3666373,3.74801988236568,115427,21.4114583333333,1241.87981245551,0,BIH,2013
11020,9.48874619168256,5257,13.3489583333333,677.969588195079,0,BLR,2013
11020,12.7679347271697,5550,12.8671875149012,1350.56451263922,0,BLR-LTU,2013
11020,11.7011500206028,5551,12.8810859123866,1327.14218393097,0,BLR-LVA,2013
11020,47.8699327947445,6959,14.0765625039736,1322.95066213828,0,BLR-POL,2013
499682,152.132931866739,105528,17.0742807984352,1141.18531424637,1,BLR-RUS,2013
9660306,10.3265883313248,795,34.0989583333333,1182.46300605361,0,BOL,2013
14037211,51.6563880257028,1247,32.828125,1655.53007812384,0,BOL-ARG,2013
10618160,209.87137366037,2328,34.8880208333333,2965.51759255781,0,BOL-BRA,2013
14357520,40.1299620723409,6253,33.28125,2787.26263437101,0,BOL-PER,2013
12009970,17.0780755933988,914,33.7473958333333,2192.05485664909,0,BOL-PRY,2013
957854,199.544785329045,1533,35.6770833333333,1783.05458650421,0,BRA,2013
53207439,247.579756971283,5782020,35.7864583333333,4271.74525109519,1,BRA-COL,2013
3307518,206.296272591119,1652,34.5364583333333,2792.64643709969,0,BRA-PRY,2013
957854,202.93049175484,1699,30.65625,2919.47843617527,0,BRA-URY,2013
2458212,229.763514994505,11083,35.5435268084208,3596.5495890347,0,BRA-VEN,2013
735127,0.764949702442925,31713,28.2604166666667,1365.89446524696,0,BTN,2013
0,2.0736551458628,266,34.484375,365.419816285405,0,BWA,2013
97393274,14.7363157298202,121946,33.8984375,988.505524124069,0,BWA-ZWE,2013
143510134,4.62540135042765,1154734,36.3072916666667,1428.82857457829,1,CAF,2013
170436119,25.3529582244968,1170359,36.8020833333333,2998.81336843222,1,CAF-CMR,2013
799102893,51.1389604940754,3705348,39.1666666666667,1692.18149271917,1,CAF-SDN,2013
420933189,16.7167221379809,1226987,38.4140625,1754.89954681949,1,CAF-TCD,2013
0,35.1230914415559,117,17.8764880895615,465.342561148592,0,CAN,2013
0,7.81052885223272,11,15.5677083333333,1338.41943533572,0,CHE,2013
1587783,17.546848262095,654,26.2604166666667,856.26943695759,0,CHL,2013
5964688,58.876647956473,1106,28.9088541666667,1329.33650902783,0,CHL-ARG,2013
11248089,27.8734365934197,1449,30.1796875,2038.7324430112,0,CHL-BOL,2013
6284997,47.3502220031111,6112,29.3619791666667,2461.06906527499,0,CHL-PER,2013
1293337,1354.55892062146,219920,32.625,587.774964877851,0,CHN,2013
489050761,1388.32863094226,3482973,33.0572916666667,924.231857894671,1,CHN-AFG,2013
2028464,1355.32387032391,251633,30.4427083333333,1953.66943012481,0,CHN-BTN,2013
1383487,1371.06185381276,223181,28.0104166666667,883.737001459611,0,CHN-KAZ,2013
7072332,1360.0465460915,223508,27.2057291666667,1029.10279853446,0,CHN-KGZ,2013
5584303,1360.99854050819,227697,32.5859375,2544.47256074141,0,CHN-LAO,2013
