from_iso3,from_name,to_iso3,to_name,mean_distance_km
IDN,Indonesia,MYS,Malaysia,1073.34145359802
IDN,Indonesia,TMP,Timor-Leste,1198.2466818938
IDN,Indonesia,PNG,Papua New Guinea,3138.16239297216
IDN,Indonesia,WB202,Water body 202,1242.66783234855
IDN,Indonesia,WB203,Water body 203,2275.45433653661
IDN,Indonesia,WB223,Water body 223,2143.16381207864
IDN,Indonesia,WB224,Water body 224,301.727206513347
IDN,Indonesia,WB225,Water body 225,969.964940892336
IDN,Indonesia,WB226,Water body 226,371.239760136258
IDN,Indonesia,WB227,Water body 227,362.34613821168
IDN,Indonesia,WB229,Water body 229,1798.08368456371
IDN,Indonesia,WB256,Water body 256,2208.48704718368
IDN,Indonesia,WB257,Water body 257,809.34912705918
IDN,Indonesia,WB259,Water body 259,2120.96711703268
MYS,Malaysia,THA,Thailand,1573.8129109896
MYS,Malaysia,BRN,Brunei Darussalam,564.003554341293
MYS,Malaysia,WB256,Water body 256,1229.96506487934
MYS,Malaysia,WB257,Water body 257,839.328919581177
CHL,Chile,BOL,Bolivia,2421.39934786001
CHL,Chile,PER,Peru,3181.16242879929
CHL,Chile,ARG,Argentina,612.197014476458
CHL,Chile,WB066,Water body 66,2414.21498858744
CHL,Chile,WB067,Water body 67,1817.32442807363
CHL,Chile,WB068,Water body 68,1842.72739743679
CHL,Chile,WB069,Water body 69,2412.24390064681
CHL,Chile,WB070,Water body 70,1818.06707487499
CHL,Chile,WB071,Water body 71,1812.44029610173
CHL,Chile,WB072,Water body 72,1886.47113570274
CHL,Chile,WB073,Water body 73,1862.63381610495
CHL,Chile,WB074,Water body 74,1866.83040217751
CHL,Chile,WB096,Water body 96,1576.82975132192
CHL,Chile,WB097,Water body 97,1810.50442379311
CHL,Chile,WB098,Water body 98,1813.59001124696
CHL,Chile,WB099,Water body 99,1756.98897021297
CHL,Chile,WB100,Water body 100,1571.97115223063
CHL,Chile,WB101,Water body 101,1807.89848764671
CHL,Chile,WB102,Water body 102,1653.64147915641
CHL,Chile,WB103,Water body 103,1701.99546298845
CHL,Chile,WB124,Water body 124,944.802520070442
CHL,Chile,WB125,Water body 125,854.781810896902
CHL,Chile,WB126,Water body 126,852.760098886739
CHL,Chile,WB145,Water body 145,4200.44626270017
CHL,Chile,WB147,Water body 147,1123.37496343457
CHL,Chile,WB148,Water body 148,882.870380351592
CHL,Chile,WB149,Water body 149,386.82351916915
CHL,Chile,WB171,Water body 171,4655.58018336256
CHL,Chile,WB172,Water body 172,3135.0279807636
CHL,Chile,WB173,Water body 173,1925.39182979932
CHL,Chile,WB174,Water body 174,1712.77995000844
BOL,Bolivia,PER,Peru,1342.6000465515
BOL,Bolivia,ARG,Argentina,2070.30158644478
BOL,Bolivia,BRA,Brazil,1414.13014306948
BOL,Bolivia,PRY,Paraguay,976.386227326196
PER,Peru,BRA,Brazil,2340.39978787226
PER,Peru,ECU,Ecuador,983.497033085836
PER,Peru,COL,Colombia,1451.73382393493
PER,Peru,WB174,Water body 174,1493.5951789077
PER,Peru,WB192,Water body 192,1054.81930412591
PER,Peru,WB193,Water body 193,988.338485755856
PER,Peru,WB215,Water body 215,1288.27294804404
ARG,Argentina,BRA,Brazil,2987.20989127482
ARG,Argentina,URY,Uruguay,892.445467157775
ARG,Argentina,PRY,Paraguay,1499.07793782096
ARG,Argentina,WB069,Water body 69,2598.55016224825
ARG,Argentina,WB100,Water body 100,1634.15219520085
ARG,Argentina,WB127,Water body 127,890.725139695182
ARG,Argentina,WB150,Water body 150,830.130329770331
CYP,Cyprus,WB348,Water body 348,602.64219233405
IND,India,CHN,China,2822.5038939988
IND,India,PAK,Pakistan,1269.52490128008
IND,India,BTN,Bhutan,1235.16219310386
IND,India,MMR,Myanmar,1786.47070827905
IND,India,BGD,Bangladesh,1128.51361948779
IND,India,NPL,Nepal,765.769796962824
IND,India,WB254,Water body 254,2041.01440313099
IND,India,WB256,Water body 256,2886.67622734858
IND,India,WB283,Water body 283,1289.11091550357
IND,India,WB284,Water body 284,1220.91687787771
IND,India,WB287,Water body 287,1881.8179817516
IND,India,WB315,Water body 315,1620.04846691641
IND,India,WB316,Water body 316,756.402020736578
IND,India,WB317,Water body 317,950.16620012374
IND,India,WB318,Water body 318,778.617043290156
IND,India,WB319,Water body 319,834.236400035916
IND,India,DT2,Aksai Chin 1,1360.13024950084
IND,India,DT3,Aksai Chin 2,1118.00168451322
IND,India,DT4,Arunachal Pradesh,1627.15547894726
CHN,China,PAK,Pakistan,3289.77939229839
CHN,China,PRK,"Korea, Democratic People's Republic of",2063.24221203732
CHN,China,BTN,Bhutan,1628.42914334294
CHN,China,KAZ,Kazakhstan,3248.5749556559
CHN,China,TJK,Tajikistan,2905.60981989598
CHN,China,MNG,Mongolia,1146.9325972389
CHN,China,RUS,Russian Federation,2877.18247384262
CHN,China,VNM,Vietnam,2214.75284966134
CHN,China,LAO,Lao People's Democratic Republic,1996.97938413641
CHN,China,KGZ,Kyrgyz Republic,2594.25559426525
CHN,China,MMR,Myanmar,1849.91087854402
CHN,China,AFG,Afghanistan,3448.05143917994
CHN,China,NPL,Nepal,2092.12994031572
CHN,China,HKG,"Hong Kong (SAR, China)",1848.72309921856
CHN,China,WB321,Water body 321,1914.50891446167
CHN,China,WB324,Water body 324,1704.99731539762
CHN,China,WB325,Water body 325,2207.66666654815
CHN,China,WB326,Water body 326,1844.74955677555
CHN,China,WB352,Water body 352,1857.70341541785
CHN,China,WB353,Water body 353,1846.26849328474
CHN,China,WB354,Water body 354,1855.51038706461
CHN,China,WB386,Water body 386,1632.76678953468
CHN,China,DT2,Aksai Chin 1,2246.17410253057
CHN,China,DT3,Aksai Chin 2,2290.09797968632
CHN,China,DT4,Arunachal Pradesh,1297.73104959208
ISR,Israel,PSE,West Bank and Gaza,67.5877814515171
ISR,Israel,LBN,Lebanon,298.67347196782
ISR,Israel,SYR,Syrian Arab Republic,523.340551952647
ISR,Israel,JOR,Jordan,173.732458215356
ISR,Israel,EGY,"Egypt, Arab Republic of",731.487530875614
ISR,Israel,WB347,Water body 347,377.775089933204
ISR,Israel,WB348,Water body 348,809.679012405873
PSE,West Bank and Gaza,JOR,Jordan,166.802045677175
PSE,West Bank and Gaza,EGY,"Egypt, Arab Republic of",793.859131390865
PSE,West Bank and Gaza,WB348,Water body 348,810.454907427747
LBN,Lebanon,SYR,Syrian Arab Republic,268.178772112729
LBN,Lebanon,WB348,Water body 348,836.511255476647
ETH,Ethiopia,SSD,South Sudan,1033.33630336235
ETH,Ethiopia,SOM,Somalia,745.878831130841
ETH,Ethiopia,KEN,Kenya,916.434156015706
ETH,Ethiopia,SDN,Sudan,1330.59321529501
ETH,Ethiopia,DJI,Djibouti,474.590389554426
ETH,Ethiopia,ERI,Eritrea,749.430124984922
SSD,South Sudan,KEN,Kenya,1118.59074668661
SSD,South Sudan,ZAR,"Congo, Democratic Republic of",1345.62043475562
SSD,South Sudan,CAF,Central African Republic,1092.64897458261
SSD,South Sudan,SDN,Sudan,969.093005119466
SSD,South Sudan,UGA,Uganda,700.455409621549
SSD,South Sudan,DT1,Sudanese disputed territory,347.347540497453
SOM,Somalia,KEN,Kenya,1080.357821542
SOM,Somalia,DJI,Djibouti,725.311975888482
SOM,Somalia,WB220,Water body 220,1196.94322501365
SOM,Somalia,WB252,Water body 252,563.375397966632
SOM,Somalia,WB280,Water body 280,840.003851594819
KEN,Kenya,TZA,Tanzania,823.754748788247
KEN,Kenya,UGA,Uganda,614.574777635972
KEN,Kenya,WB220,Water body 220,1171.45327938161
PAK,Pakistan,IRN,"Iran, Islamic Republic of",1462.60605188989
PAK,Pakistan,AFG,Afghanistan,534.012483770473
PAK,Pakistan,WB315,Water body 315,1085.57410670369
MWI,Malawi,TZA,Tanzania,769.994732258911
MWI,Malawi,ZMB,Zambia,706.373293433519
MWI,Malawi,MOZ,Mozambique,468.055069244951
TZA,Tanzania,ZAR,"Congo, Democratic Republic of",1294.76623288734
TZA,Tanzania,ZMB,Zambia,1107.6350416626
TZA,Tanzania,MOZ,Mozambique,1218.84914681929
TZA,Tanzania,BDI,Burundi,635.721621281815
TZA,Tanzania,RWA,Rwanda,720.722027119424
TZA,Tanzania,UGA,Uganda,878.105658552636
TZA,Tanzania,WB198,Water body 198,1525.4584148706
TZA,Tanzania,WB220,Water body 220,1361.65931043366
SYR,Syrian Arab Republic,TUR,Turkey,537.817627127793
SYR,Syrian Arab Republic,IRQ,Iraq,532.491984356956
SYR,Syrian Arab Republic,JOR,Jordan,447.050772131019
SYR,Syrian Arab Republic,WB348,Water body 348,1078.30053837768
FRA,France,SUR,Suriname,6730.29171314157
FRA,France,BRA,Brazil,7790.04571545724
FRA,France,DEU,Germany,1408.85015677887
FRA,France,LUX,Luxembourg,1084.30728540785
FRA,France,BEL,Belgium,1097.43780975116
FRA,France,ESP,Spain,229.568475037704
FRA,France,ITA,Italy,1219.38488969944
FRA,France,CHE,Switzerland,1011.02920879631
FRA,France,MCO,Monaco,845.861298030182
FRA,France,ADO,Andorra,357.772277609235
FRA,France,WB181,Water body 181,9839.02156926202
FRA,France,WB198,Water body 198,7956.71989657994
FRA,France,WB246,Water body 246,6478.1724870094
FRA,France,WB248,Water body 248,5824.37567130005
FRA,France,WB276,Water body 276,6490.71725116718
FRA,France,WB371,Water body 371,805.161822243458
FRA,France,WB373,Water body 373,359.812791377162
FRA,France,WB375,Water body 375,986.231367167134
FRA,France,WB415,Water body 415,983.945276512333
FRA,France,WB421,Water body 421,1260.52139873185
SUR,Suriname,GUY,Guyana,348.396244053788
SUR,Suriname,BRA,Brazil,1678.36412173933
SUR,Suriname,WB245,Water body 245,401.665562820925
SUR,Suriname,WB246,Water body 246,256.229479405598
SUR,Suriname,WB248,Water body 248,1307.74879385151
GUY,Guyana,BRA,Brazil,1841.73007619497
GUY,Guyana,VEN,"Venezuela, Republica Bolivariana de",836.701252596487
GUY,Guyana,WB245,Water body 245,415.668239237299
KOR,"Korea, Republic of",PRK,"Korea, Democratic People's Republic of",422.95179559092
KOR,"Korea, Republic of",WB352,Water body 352,643.146936349556
KOR,"Korea, Republic of",WB355,Water body 355,899.378925587395
KOR,"Korea, Republic of",WB386,Water body 386,529.854279408637
KOR,"Korea, Republic of",WB387,Water body 387,149.071733860782
KOR,"Korea, Republic of",WB389,Water body 389,856.134386419818
PRK,"Korea, Democratic People's Republic of",RUS,Russian Federation,3177.25788545176
PRK,"Korea, Democratic People's Republic of",WB386,Water body 386,472.614438912268
PRK,"Korea, Democratic People's Republic of",WB387,Water body 387,364.585394392317
PRK,"Korea, Democratic People's Republic of",WB389,Water body 389,777.509917261532
MAR,Morocco,ESP,Spain,960.139681966221
MAR,Morocco,DZA,Algeria,954.990158478713
MAR,Morocco,WB344,Water body 344,608.277791514959
CRI,Costa Rica,NIC,Nicaragua,330.654660814389
CRI,Costa Rica,PAN,Panama,475.66190890219
CRI,Costa Rica,WB241,Water body 241,608.820316024213
CRI,Costa Rica,WB268,Water body 268,418.09837206175
CRI,Costa Rica,WB269,Water body 269,745.856711436019
NIC,Nicaragua,HND,Honduras,278.193659880968
NIC,Nicaragua,WB268,Water body 268,380.566176910652
NIC,Nicaragua,WB269,Water body 269,681.341525452779
COG,"Congo, Rep. of",ZAR,"Congo, Democratic Republic of",964.302983328513
COG,"Congo, Rep. of",CAF,Central African Republic,1005.13796150902
COG,"Congo, Rep. of",AGO,Angola,1292.27090062938
COG,"Congo, Rep. of",CMR,Cameroon,773.160119877678
COG,"Congo, Rep. of",GAB,Gabon,382.63649435242
COG,"Congo, Rep. of",WB219,Water body 219,1141.55455487828
ZAR,"Congo, Democratic Republic of",ZMB,Zambia,1255.28285458133
ZAR,"Congo, Democratic Republic of",CAF,Central African Republic,1102.71206996364
ZAR,"Congo, Democratic Republic of",AGO,Angola,1239.72103739238
ZAR,"Congo, Democratic Republic of",BDI,Burundi,694.504853606553
ZAR,"Congo, Democratic Republic of",RWA,Rwanda,704.638230655404
ZAR,"Congo, Democratic Republic of",UGA,Uganda,1073.88354260455
ZAR,"Congo, Democratic Republic of",WB219,Water body 219,1997.98337934231
BTN,Bhutan,DT4,Arunachal Pradesh,396.624060751697
UKR,Ukraine,BLR,Belarus,555.941879022388
UKR,Ukraine,RUS,Russian Federation,4165.09002792112
UKR,Ukraine,ROM,Romania,596.559868719689
UKR,Ukraine,HUN,Hungary,915.220222392502
UKR,Ukraine,SVK,Slovak Republic,873.438091127338
UKR,Ukraine,POL,Poland,916.760047969148
UKR,Ukraine,MDA,Moldova,295.943707092518
UKR,Ukraine,WB377,Water body 377,1002.90542331418
UKR,Ukraine,WB384,Water body 384,886.441187369182
UKR,Ukraine,WB430,Water body 430,351.589062874533
UKR,Ukraine,WB431,Water body 431,565.871865750202
UKR,Ukraine,WB432,Water body 432,450.50818526811
UKR,Ukraine,WB433,Water body 433,542.045835251522
UKR,Ukraine,WB434,Water body 434,460.593182182214
UKR,Ukraine,WB435,Water body 435,567.542949888675
UKR,Ukraine,WB436,Water body 436,536.937489066512
BLR,Belarus,LTU,Lithuania,335.026811039023
BLR,Belarus,RUS,Russian Federation,3988.43455586937
BLR,Belarus,LVA,Latvia,419.674421711814
BLR,Belarus,POL,Poland,602.572613570484
NAM,Namibia,ZAF,South Africa,1097.47299473785
NAM,Namibia,ZMB,Zambia,1473.60447086802
NAM,Namibia,AGO,Angola,1089.24049770372
NAM,Namibia,BWA,Botswana,679.497612901967
NAM,Namibia,ZWE,Zimbabwe,1362.18101133321
NAM,Namibia,WB154,Water body 154,1352.33525990364
NAM,Namibia,WB178,Water body 178,1050.77643616374
NAM,Namibia,WB197,Water body 197,1497.80019228931
ZAF,South Africa,BWA,Botswana,766.004200454468
ZAF,South Africa,ZWE,Zimbabwe,1208.49546490306
ZAF,South Africa,MOZ,Mozambique,1681.33704579386
ZAF,South Africa,SWZ,eSwatini,685.442939088667
ZAF,South Africa,LSO,Lesotho,311.877122214485
ZAF,South Africa,WB109,Water body 109,2833.22932347431
ZAF,South Africa,WB154,Water body 154,1603.70734970319
ZAF,South Africa,WB155,Water body 155,754.018223097018
ZAF,South Africa,WB156,Water body 156,811.408893383846
ZAF,South Africa,WB157,Water body 157,660.697865507515
ZAF,South Africa,WB179,Water body 179,1107.35558085958
MAF,Saint-Martin (Fr.),SXM,Sint Maarten (Neth.),4.3936909603881
MAF,Saint-Martin (Fr.),WB276,Water body 276,454.522605011408
SXM,Sint Maarten (Neth.),WB276,Water body 276,450.688480748151
OMN,Oman,ARE,United Arab Emirates,409.823083608613
OMN,Oman,SAU,Saudi Arabia,1251.89567369051
OMN,Oman,YEM,"Yemen, Republic of",1038.20401434151
OMN,Oman,WB280,Water body 280,1182.05109660861
OMN,Oman,WB282,Water body 282,1081.89468111911
OMN,Oman,WB315,Water body 315,787.876673139792
UZB,Uzbekistan,KAZ,Kazakhstan,782.568327179934
UZB,Uzbekistan,TJK,Tajikistan,760.328261406675
UZB,Uzbekistan,KGZ,Kyrgyz Republic,950.270858839099
UZB,Uzbekistan,AFG,Afghanistan,914.467118279716
UZB,Uzbekistan,TKM,Turkmenistan,433.435741424446
KAZ,Kazakhstan,RUS,Russian Federation,2392.34034342903
KAZ,Kazakhstan,KGZ,Kyrgyz Republic,938.612482778632
KAZ,Kazakhstan,TKM,Turkmenistan,1188.6136645914
KAZ,Kazakhstan,WB651,Caspian sea,1478.28123209614
TJK,Tajikistan,KGZ,Kyrgyz Republic,443.36977798149
TJK,Tajikistan,AFG,Afghanistan,688.333712357946
LTU,Lithuania,RUS,Russian Federation,4059.52682400409
LTU,Lithuania,LVA,Latvia,181.263299776712
LTU,Lithuania,POL,Poland,463.502496360566
LTU,Lithuania,WB474,Water body 474,443.997695957431
BRA,Brazil,URY,Uruguay,2456.49026102389
BRA,Brazil,COL,Colombia,2747.08664467095
BRA,Brazil,PRY,Paraguay,1488.32933032013
BRA,Brazil,VEN,"Venezuela, Republica Bolivariana de",2453.89244756982
BRA,Brazil,WB151,Water body 151,2522.20015463426
BRA,Brazil,WB175,Water body 175,1946.47131469097
BRA,Brazil,WB176,Water body 176,3063.60188445138
BRA,Brazil,WB194,Water body 194,1761.8831507276
BRA,Brazil,WB195,Water body 195,2857.27191911091
BRA,Brazil,WB216,Water body 216,1680.69614240658
BRA,Brazil,WB217,Water body 217,2983.20058636378
BRA,Brazil,WB248,Water body 248,1983.12598387473
BRA,Brazil,WB249,Water body 249,3349.09690905513
URY,Uruguay,WB150,Water body 150,274.518394041619
URY,Uruguay,WB151,Water body 151,1149.7899579209
MNG,Mongolia,RUS,Russian Federation,1735.66112736035
RUS,Russian Federation,EST,Estonia,3748.47777721841
RUS,Russian Federation,LVA,Latvia,3901.95580251428
RUS,Russian Federation,NOR,Norway,3562.32274069899
RUS,Russian Federation,FIN,Finland,3367.77190935921
RUS,Russian Federation,GEO,Georgia,4095.8022800068
RUS,Russian Federation,AZE,Azerbaijan,4052.4007157817
RUS,Russian Federation,POL,Poland,4519.35385015723
RUS,Russian Federation,WB384,Water body 384,4317.5924731164
RUS,Russian Federation,WB389,Water body 389,3587.34966979614
RUS,Russian Federation,WB436,Water body 436,4083.21890778542
RUS,Russian Federation,WB437,Water body 437,3153.72761998854
RUS,Russian Federation,WB438,Water body 438,2597.4809651023
RUS,Russian Federation,WB439,Water body 439,2555.39257751772
RUS,Russian Federation,WB440,Water body 440,2506.26778189636
RUS,Russian Federation,WB441,Water body 441,2490.45795097545
RUS,Russian Federation,WB442,Water body 442,2947.68918871758
RUS,Russian Federation,WB443,Water body 443,3655.6363258126
RUS,Russian Federation,WB474,Water body 474,3930.96198512244
RUS,Russian Federation,WB476,Water body 476,2563.85325483693
RUS,Russian Federation,WB477,Water body 477,3041.0163207167
RUS,Russian Federation,WB478,Water body 478,3727.23145783372
RUS,Russian Federation,WB479,Water body 479,3681.90166097986
RUS,Russian Federation,WB480,Water body 480,3510.19411282612
RUS,Russian Federation,WB481,Water body 481,4013.94012500883
RUS,Russian Federation,WB482,Water body 482,3356.91994525119
RUS,Russian Federation,WB483,Water body 483,3999.99743107064
RUS,Russian Federation,WB549,Water body 549,2939.45479217684
RUS,Russian Federation,WB551,Water body 551,3040.6944711505
RUS,Russian Federation,WB555,Water body 555,2082.33469447377
RUS,Russian Federation,WB556,Water body 556,2463.24669794775
RUS,Russian Federation,WB557,Water body 557,2079.55182533397
RUS,Russian Federation,WB558,Water body 558,2171.36371784026
RUS,Russian Federation,WB559,Water body 559,2091.1466090442
RUS,Russian Federation,WB560,Water body 560,1338.51803621122
RUS,Russian Federation,WB561,Water body 561,1822.44010545122
RUS,Russian Federation,WB562,Water body 562,1302.69342022658
RUS,Russian Federation,WB563,Water body 563,1304.78922347783
RUS,Russian Federation,WB564,Water body 564,1499.85149297609
RUS,Russian Federation,WB565,Water body 565,2089.21522863544
RUS,Russian Federation,WB566,Water body 566,2086.14290110339
RUS,Russian Federation,WB567,Water body 567,1215.48534442758
RUS,Russian Federation,WB568,Water body 568,1373.73126827258
RUS,Russian Federation,WB569,Water body 569,1305.53708918196
RUS,Russian Federation,WB570,Water body 570,1909.84257124432
RUS,Russian Federation,WB571,Water body 571,2720.72530948039
RUS,Russian Federation,WB572,Water body 572,2320.53598620504
RUS,Russian Federation,WB573,Water body 573,3223.29351469623
RUS,Russian Federation,WB574,Water body 574,3871.90095117869
RUS,Russian Federation,WB611,Water body 611,2472.32547043532
RUS,Russian Federation,WB612,Water body 612,2045.17504499196
RUS,Russian Federation,WB613,Water body 613,1584.36157985138
RUS,Russian Federation,WB614,Water body 614,1785.39692032407
RUS,Russian Federation,WB615,Water body 615,1847.68377419835
RUS,Russian Federation,WB616,Water body 616,1326.60788001957
