scenario,year,variable,value
SSP1,2013,intercept,-8.28202860483627
SSP1,2014,intercept,-8.28202860483627
SSP1,2015,intercept,-8.28202860483627
SSP1,2016,intercept,-8.28202860483627
SSP1,2017,intercept,-8.28202860483627
SSP1,2018,intercept,-8.28202860483627
SSP1,2019,intercept,-8.28202860483627
SSP1,2020,intercept,-8.28202860483627
SSP1,2021,intercept,-8.28202860483627
SSP1,2022,intercept,-8.28202860483627
SSP1,2023,intercept,-8.28202860483627
SSP1,2024,intercept,-8.28202860483627
SSP1,2025,intercept,-8.28202860483627
SSP1,2026,intercept,-8.28202860483627
SSP1,2027,intercept,-8.28202860483627
SSP1,2028,intercept,-8.28202860483627
SSP1,2029,intercept,-8.28202860483627
SSP1,2030,intercept,-8.28202860483627
SSP1,2031,intercept,-8.28202860483627
SSP1,2032,intercept,-8.28202860483627
SSP1,2033,intercept,-8.28202860483627
SSP1,2034,intercept,-8.28202860483627
SSP1,2035,intercept,-8.28202860483627
SSP1,2036,intercept,-8.28202860483627
SSP1,2037,intercept,-8.28202860483627
SSP1,2038,intercept,-8.28202860483627
SSP1,2039,intercept,-8.28202860483627
SSP1,2040,intercept,-8.28202860483627
SSP1,2041,intercept,-8.28202860483627
SSP1,2042,intercept,-8.28202860483627
SSP1,2043,intercept,-8.28202860483627
SSP1,2044,intercept,-8.28202860483627
SSP1,2045,intercept,-8.28202860483627
SSP1,2046,intercept,-8.28202860483627
SSP1,2047,intercept,-8.28202860483627
SSP1,2048,intercept,-8.28202860483627
SSP1,2049,intercept,-8.28202860483627
SSP1,2050,intercept,-8.28202860483627
SSP1,2051,intercept,-8.28202860483627
SSP1,2052,intercept,-8.28202860483627
SSP1,2053,intercept,-8.28202860483627
SSP1,2054,intercept,-8.28202860483627
SSP1,2055,intercept,-8.28202860483627
SSP1,2056,intercept,-8.28202860483627
SSP1,2057,intercept,-8.28202860483627
SSP1,2058,intercept,-8.28202860483627
SSP1,2059,intercept,-8.28202860483627
SSP1,2060,intercept,-8.28202860483627
SSP1,2061,intercept,-8.28202860483627
SSP1,2062,intercept,-8.28202860483627
SSP1,2063,intercept,-8.28202860483627
SSP1,2064,intercept,-8.28202860483627
SSP1,2065,intercept,-8.28202860483627
SSP1,2066,intercept,-8.28202860483627
SSP1,2067,intercept,-8.28202860483627
SSP1,2068,intercept,-8.28202860483627
SSP1,2069,intercept,-8.28202860483627
SSP1,2070,intercept,-8.28202860483627
SSP1,2071,intercept,-8.28202860483627
SSP1,2072,intercept,-8.28202860483627
SSP1,2073,intercept,-8.28202860483627
SSP1,2074,intercept,-8.28202860483627
SSP1,2075,intercept,-8.28202860483627
SSP1,2076,intercept,-8.28202860483627
SSP1,2077,intercept,-8.28202860483627
SSP1,2078,intercept,-8.28202860483627
SSP1,2079,intercept,-8.28202860483627
SSP1,2080,intercept,-8.28202860483627
SSP1,2081,intercept,-8.28202860483627
SSP1,2082,intercept,-8.28202860483627
SSP1,2083,intercept,-8.28202860483627
SSP1,2084,intercept,-8.28202860483627
SSP1,2085,intercept,-8.28202860483627
SSP1,2086,intercept,-8.28202860483627
SSP1,2087,intercept,-8.28202860483627
SSP1,2088,intercept,-8.28202860483627
SSP1,2089,intercept,-8.28202860483627
SSP1,2090,intercept,-8.28202860483627
SSP1,2091,intercept,-8.28202860483627
SSP1,2092,intercept,-8.28202860483627
SSP1,2093,intercept,-8.28202860483627
SSP1,2094,intercept,-8.28202860483627
SSP1,2095,intercept,-8.28202860483627
SSP1,2096,intercept,-8.28202860483627
SSP1,2097,intercept,-8.28202860483627
SSP1,2098,intercept,-8.28202860483627
SSP1,2099,intercept,-8.28202860483627
SSP1,2100,intercept,-8.28202860483627
SSP2,2013,intercept,-8.28202860483627
SSP2,2014,intercept,-8.28202860483627
SSP2,2015,intercept,-8.28202860483627
SSP2,2016,intercept,-8.28202860483627
SSP2,2017,intercept,-8.28202860483627
SSP2,2018,intercept,-8.28202860483627
SSP2,2019,intercept,-8.28202860483627
SSP2,2020,intercept,-8.28202860483627
SSP2,2021,intercept,-8.28202860483627
SSP2,2022,intercept,-8.28202860483627
SSP2,2023,intercept,-8.28202860483627
SSP2,2024,intercept,-8.28202860483627
SSP2,2025,intercept,-8.28202860483627
SSP2,2026,intercept,-8.28202860483627
SSP2,2027,intercept,-8.28202860483627
SSP2,2028,intercept,-8.28202860483627
SSP2,2029,intercept,-8.28202860483627
SSP2,2030,intercept,-8.28202860483627
SSP2,2031,intercept,-8.28202860483627
SSP2,2032,intercept,-8.28202860483627
SSP2,2033,intercept,-8.28202860483627
SSP2,2034,intercept,-8.28202860483627
SSP2,2035,intercept,-8.28202860483627
SSP2,2036,intercept,-8.28202860483627
SSP2,2037,intercept,-8.28202860483627
SSP2,2038,intercept,-8.28202860483627
SSP2,2039,intercept,-8.28202860483627
SSP2,2040,intercept,-8.28202860483627
SSP2,2041,intercept,-8.28202860483627
SSP2,2042,intercept,-8.28202860483627
SSP2,2043,intercept,-8.28202860483627
SSP2,2044,intercept,-8.28202860483627
SSP2,2045,intercept,-8.28202860483627
SSP2,2046,intercept,-8.28202860483627
SSP2,2047,intercept,-8.28202860483627
SSP2,2048,intercept,-8.28202860483627
SSP2,2049,intercept,-8.28202860483627
SSP2,2050,intercept,-8.28202860483627
SSP2,2051,intercept,-8.28202860483627
SSP2,2052,intercept,-8.28202860483627
SSP2,2053,intercept,-8.28202860483627
SSP2,2054,intercept,-8.28202860483627
SSP2,2055,intercept,-8.28202860483627
SSP2,2056,intercept,-8.28202860483627
SSP2,2057,intercept,-8.28202860483627
SSP2,2058,intercept,-8.28202860483627
SSP2,2059,intercept,-8.28202860483627
SSP2,2060,intercept,-8.28202860483627
SSP2,2061,intercept,-8.28202860483627
SSP2,2062,intercept,-8.28202860483627
SSP2,2063,intercept,-8.28202860483627
SSP2,2064,intercept,-8.28202860483627
SSP2,2065,intercept,-8.28202860483627
SSP2,2066,intercept,-8.28202860483627
SSP2,2067,intercept,-8.28202860483627
SSP2,2068,intercept,-8.28202860483627
SSP2,2069,intercept,-8.28202860483627
SSP2,2070,intercept,-8.28202860483627
SSP2,2071,intercept,-8.28202860483627
SSP2,2072,intercept,-8.28202860483627
SSP2,2073,intercept,-8.28202860483627
SSP2,2074,intercept,-8.28202860483627
SSP2,2075,intercept,-8.28202860483627
SSP2,2076,intercept,-8.28202860483627
SSP2,2077,intercept,-8.28202860483627
SSP2,2078,intercept,-8.28202860483627
SSP2,2079,intercept,-8.28202860483627
SSP2,2080,intercept,-8.28202860483627
SSP2,2081,intercept,-8.28202860483627
SSP2,2082,intercept,-8.28202860483627
SSP2,2083,intercept,-8.28202860483627
SSP2,2084,intercept,-8.28202860483627
SSP2,2085,intercept,-8.28202860483627
SSP2,2086,intercept,-8.28202860483627
SSP2,2087,intercept,-8.28202860483627
SSP2,2088,intercept,-8.28202860483627
SSP2,2089,intercept,-8.28202860483627
SSP2,2090,intercept,-8.28202860483627
SSP2,2091,intercept,-8.28202860483627
SSP2,2092,intercept,-8.28202860483627
SSP2,2093,intercept,-8.28202860483627
SSP2,2094,intercept,-8.28202860483627
SSP2,2095,intercept,-8.28202860483627
SSP2,2096,intercept,-8.28202860483627
SSP2,2097,intercept,-8.28202860483627
SSP2,2098,intercept,-8.28202860483627
SSP2,2099,intercept,-8.28202860483627
SSP2,2100,intercept,-8.28202860483627
SSP3,2013,intercept,-8.28202860483627
SSP3,2014,intercept,-8.28202860483627
SSP3,2015,intercept,-8.28202860483627
SSP3,2016,intercept,-8.28202860483627
SSP3,2017,intercept,-8.28202860483627
SSP3,2018,intercept,-8.28202860483627
SSP3,2019,intercept,-8.28202860483627
SSP3,2020,intercept,-8.28202860483627
SSP3,2021,intercept,-8.28202860483627
SSP3,2022,intercept,-8.28202860483627
SSP3,2023,intercept,-8.28202860483627
SSP3,2024,intercept,-8.28202860483627
SSP3,2025,intercept,-8.28202860483627
SSP3,2026,intercept,-8.28202860483627
SSP3,2027,intercept,-8.28202860483627
SSP3,2028,intercept,-8.28202860483627
SSP3,2029,intercept,-8.28202860483627
SSP3,2030,intercept,-8.28202860483627
SSP3,2031,intercept,-8.28202860483627
SSP3,2032,intercept,-8.28202860483627
SSP3,2033,intercept,-8.28202860483627
SSP3,2034,intercept,-8.28202860483627
