Scenario,year,pop
Historical,1960,3038.412766
Historical,1961,3089.30825896921
Historical,1962,3144.62768439382
Historical,1963,3203.95879163382
Historical,1964,3266.88933004921
Historical,1965,3333.007049
Historical,1966,3401.8933916591
Historical,1967,3473.10457645112
Historical,1968,3546.19051561359
Historical,1969,3620.70112138404
Historical,1970,3696.186306
Historical,1971,3772.22751263439
Historical,1972,3848.53230820169
Historical,1973,3924.83979055181
Historical,1974,4000.88905753461
Historical,1975,4076.419207
Historical,1976,4151.29618369136
Historical,1977,4225.89331992611
Historical,1978,4300.71079491518
Historical,1979,4376.24878786951
Historical,1980,4453.007478
Historical,1981,4531.41242272818
Historical,1982,4611.59069231787
Historical,1983,4693.59473524346
Historical,1984,4777.47699997937
Historical,1985,4863.289935
Historical,1986,4950.95218712393
Historical,1987,5039.84719654643
Historical,1988,5129.22460180698
Historical,1989,5218.33404144501
Historical,1990,5306.425154
Historical,1991,5392.91474725612
Historical,1992,5477.88830597641
Historical,1993,5561.59848416864
Historical,1994,5644.29793584058
Historical,1995,5726.239315
Historical,1996,5807.59009330761
Historical,1997,5888.17701303595
Historical,1998,5967.74163411048
Historical,1999,6046.02551645667
Historical,2000,6122.77022
Historical,2001,6197.97561284143
Historical,2002,6272.6747957838
Historical,2003,6348.15917780547
Historical,2004,6425.72016788475
Historical,2005,6506.649175
Historical,2006,6590.64693778343
Historical,2007,6671.05151348287
Historical,2008,6739.610289
Historical,2009,6792.13011139951
Historical,2010,6840.65566839798
SSP1,2011,6898.038370735
SSP1,2012,6964.11868059037
SSP1,2013,7035.48432300393
SSP1,2014,7108.72302301552
SSP1,2015,7180.42250566497
SSP1,2016,7247.8832447991
SSP1,2017,7311.25670949265
SSP1,2018,7371.40711762736
SSP1,2019,7429.19868708493
SSP1,2020,7485.4956357471
SSP1,2021,7540.95500693865
SSP1,2022,7595.40514575661
SSP1,2023,7648.4672227411
SSP1,2024,7699.76240843223
SSP1,2025,7748.91187337008
SSP1,2026,7795.65164891534
SSP1,2027,7840.17720971093
SSP1,2028,7882.79889122036
SSP1,2029,7923.82702890713
SSP1,2030,7963.57195823472
SSP1,2031,8002.26582628195
SSP1,2032,8039.82802658879
SSP1,2033,8076.09976431054
SSP1,2034,8110.9222446025
SSP1,2035,8144.13667261994
SSP1,2036,8175.60846134396
SSP1,2037,8205.29985505887
SSP1,2038,8233.19730587476
SSP1,2039,8259.28726590174
SSP1,2040,8283.55618724989
SSP1,2041,8305.98489831918
SSP1,2042,8326.53173266894
SSP1,2043,8345.14940014835
SSP1,2044,8361.79061060661
SSP1,2045,8376.4080738929
SSP1,2046,8388.97476178927
SSP1,2047,8399.5446938092
SSP1,2048,8408.19215139905
SSP1,2049,8414.99141600515
SSP1,2050,8420.01676907387
SSP1,2051,8423.33123199878
SSP1,2052,8424.95278596249
SSP1,2053,8424.88815209481
SSP1,2054,8423.14405152559
SSP1,2055,8419.72720538464
SSP1,2056,8414.64834688574
SSP1,2057,8407.93425757846
SSP1,2058,8399.61573109629
SSP1,2059,8389.72356107275
SSP1,2060,8378.28854114134
SSP1,2061,8365.3391601588
SSP1,2062,8350.89468787476
SSP1,2063,8334.97208926212
SSP1,2064,8317.58832929375
SSP1,2065,8298.76037294253
SSP1,2066,8278.50471595284
SSP1,2067,8256.83597715515
SSP1,2068,8233.7683061514
SSP1,2069,8209.31585254354
SSP1,2070,8183.49276593355
SSP1,2071,8156.31311701096
SSP1,2072,8127.79066081572
SSP1,2073,8097.93907347533
SSP1,2074,8066.77203111734
SSP1,2075,8034.30320986925
SSP1,2076,8000.5429635981
SSP1,2077,7965.48835712893
SSP1,2078,7929.13313302629
SSP1,2079,7891.47103385473
SSP1,2080,7852.49580217879
SSP1,2081,7812.2103049921
SSP1,2082,7770.65390700454
SSP1,2083,7727.87509735508
SSP1,2084,7683.92236518267
SSP1,2085,7638.84419962627
SSP1,2086,7592.68694805175
SSP1,2087,7545.48839073258
SSP1,2088,7497.28416616916
SSP1,2089,7448.10991286186
SSP1,2090,7398.00126931107
SSP1,2091,7346.98983771028
SSP1,2092,7295.09107502537
SSP1,2093,7242.31640191535
SSP1,2094,7188.67723903919
SSP1,2095,7134.18500705591
SSP1,2096,7078.85193388586
SSP1,2097,7022.69347649494
SSP1,2098,6965.72589911043
SSP1,2099,6907.96546595959
SSP1,2100,6849.4284412697
SSP2,2011,6901.13001606285
SSP2,2012,6972.72635803863
SSP2,2013,7051.56373928627
SSP2,2014,7133.76120476672
SSP2,2015,7215.43779944092
SSP2,2016,7293.50534694926
SSP2,2017,7368.04678564994
SSP2,2018,7439.93783258058
SSP2,2019,7510.05420477882
SSP2,2020,7579.27161928229
SSP2,2021,7648.2674549367
SSP2,2022,7716.92573782007
SSP2,2023,7784.9321558185
SSP2,2024,7851.97239681808
SSP2,2025,7917.73214870492
SSP2,2026,7981.96510505699
SSP2,2027,8044.69698221977
SSP2,2028,8106.02150223062
SSP2,2029,8166.03238712691
SSP2,2030,8224.82335894599
SSP2,2031,8282.46563053432
SSP2,2032,8338.94037797474
SSP2,2033,8394.20626815921
SSP2,2034,8448.22196797965
SSP2,2035,8500.94614432802
SSP2,2036,8552.34209044816
SSP2,2037,8602.39160499157
SSP2,2038,8651.08111296165
SSP2,2039,8698.39703936178
SSP2,2040,8744.32580919538
SSP2,2041,8788.84912892583
SSP2,2042,8831.92983085648
SSP2,2043,8873.52602875069
SSP2,2044,8913.59583637179
SSP2,2045,8952.09736748315
SSP2,2046,8988.99148851344
SSP2,2047,9024.25007655278
SSP2,2048,9057.84776135661
SSP2,2049,9089.75917268041
SSP2,2050,9119.95894027961
SSP2,2051,9148.4275991448
SSP2,2052,9175.169305207
SSP2,2053,9200.19411963236
SSP2,2054,9223.51210358704
SSP2,2055,9245.13331823717
SSP2,2056,9265.0740356316
SSP2,2057,9283.37537134987
SSP2,2058,9300.08465185422
SSP2,2059,9315.24920360687
SSP2,2060,9328.91635307008
SSP2,2061,9341.13375324988
SSP2,2062,9351.95036332764
SSP2,2063,9361.41546902852
SSP2,2064,9369.5783560777
SSP2,2065,9376.48831020036
SSP2,2066,9382.18597469184
SSP2,2067,9386.67742312823
SSP2,2068,9389.9600866558
SSP2,2069,9392.03139642079
SSP2,2070,9392.88878356947
SSP2,2071,9392.5317601374
SSP2,2072,9390.96816171726
SSP2,2073,9388.20790479104
SSP2,2074,9384.26090584071
SSP2,2075,9379.13708134827
SSP2,2076,9372.84795962333
SSP2,2077,9365.41151628611
SSP2,2078,9356.84733878449
SSP2,2079,9347.1750145663
SSP2,2080,9336.41413107943
SSP2,2081,9324.58926305945
SSP2,2082,9311.74493439289
SSP2,2083,9297.93065625399
SSP2,2084,9283.19593981697
SSP2,2085,9267.5902962561
SSP2,2086,9251.16092414261
SSP2,2087,9233.94577163587
SSP2,2088,9215.98047429221
SSP2,2089,9197.30066766801
SSP2,2090,9177.94198731961
SSP2,2091,9157.93797232156
SSP2,2092,9137.31377582119
SSP2,2093,9116.09245448399
SSP2,2094,9094.29706497549
SSP2,2095,9071.95066396118
SSP2,2096,9049.07672740294
SSP2,2097,9025.70040844808
SSP2,2098,9001.84727954028
SSP2,2099,8977.54291312322
SSP2,2100,8952.81288164058
SSP3,2011,6902.98395503002
SSP3,2012,6978.00437658712
SSP3,2013,7061.69213023706
SSP3,2014,7150.02241314762
SSP3,2015,7238.97042248656
SSP3,2016,7325.3194177129
SSP3,2017,7409.08490745052
SSP3,2018,7491.09046261457
SSP3,2019,7572.15965412014
SSP3,2020,7653.11605288237
SSP3,2021,7734.60862689326
SSP3,2022,7816.58793245229
SSP3,2023,7898.82992293583
SSP3,2024,7981.11055172025
SSP3,2025,8063.20577218192
SSP3,2026,8144.90113070721
SSP3,2027,8226.02054572249
SSP3,2028,8306.39752866414
SSP3,2029,8385.86559096856
SSP3,2030,8464.25824407211
SSP3,2031,8541.46263773206
SSP3,2032,8617.58047498917
SSP3,2033,8692.76709720507
SSP3,2034,8767.1778457414
SSP3,2035,8840.96806195982
SSP3,2036,8914.27111359336
SSP3,2037,8987.13247386082
SSP3,2038,9059.5756423524
SSP3,2039,9131.6241186583
SSP3,2040,9203.30140236871
SSP3,2041,9274.63055032784
SSP3,2042,9345.63284839584
SSP3,2043,9416.32913968689
SSP3,2044,9486.74026731514
