tmax,prec,year,scenario
27.1328323156193,1187.07923005217,1960-1980,Historical
27.424721572515,1162.31392751958,1980-2000,Historical
27.9723826953399,1189.41348695871,2000-2020,Historical
29.1126542987016,1187.81202193174,2020-2040,SSP1
29.762301578924,1197.48654937634,2040-2060,SSP1
30.0143297873306,1199.33680833155,2060-2080,SSP1
30.0088183361334,1211.08315844613,2080-2100,SSP1
29.0827160495378,1182.69030449576,2020-2040,SSP2
30.0253527441622,1199.84838160424,2040-2060,SSP2
30.7828924374974,1213.45631733337,2060-2080,SSP2
31.2338624548765,1213.39016720232,2080-2100,SSP2
29.1115079212678,1181.20677997646,2020-2040,SSP3
30.2166225715282,1190.55801696412,2040-2060,SSP3
31.4398588902158,1199.57109907847,2060-2080,SSP3
32.7752645772338,1199.1055139229,2080-2100,SSP3
29.2232363120221,1179.74688524417,2020-2040,SSP5
30.4480158667716,1183.70854982143,2040-2060,SSP5
32.0917548622207,1191.72910482552,2060-2080,SSP5
33.9514991242629,1195.11792385226,2080-2100,SSP5
