scenario,year,gdp
Historical,1960,10.7745878148814
Historical,1961,11.2480275014534
Historical,1962,11.8591040289923
Historical,1963,12.3732007680287
Historical,1964,13.3142965655752
Historical,1965,14.0882155561709
Historical,1966,14.8771884486496
Historical,1967,15.4844151566015
Historical,1968,16.4582291942703
Historical,1969,17.3603035333393
Historical,1970,18.0285059056247
Historical,1971,18.8236258956231
Historical,1972,19.8023268246208
Historical,1973,21.1802566914109
Historical,1974,21.7432062983476
Historical,1975,22.0977069440612
Historical,1976,23.3146733259423
Historical,1977,24.2269453687018
Historical,1978,25.2129870716174
Historical,1979,26.109624368039
Historical,1980,26.6916201104302
Historical,1981,27.0981891628498
Historical,1982,27.3116483525707
Historical,1983,28.0572535696557
Historical,1984,29.257000463213
Historical,1985,30.2669875289389
Historical,1986,31.3405221809379
Historical,1987,32.3967342671395
Historical,1988,33.7502053716006
Historical,1989,34.9150631558502
Historical,1990,35.7239636130357
Historical,1991,36.1033825844821
Historical,1992,36.7443475138385
Historical,1993,37.5824537928646
Historical,1994,38.7073493251234
Historical,1995,39.9443717949385
Historical,1996,41.4099385633938
Historical,1997,43.0567782259485
Historical,1998,44.105623579987
Historical,1999,45.7123139716202
Historical,2000,47.8338129139318
Historical,2001,48.9238309803383
Historical,2002,50.2465293099065
Historical,2003,52.0546186124333
Historical,2004,54.613591744173
Historical,2005,57.0760537071857
Historical,2006,60.1048119283827
Historical,2007,63.2731682162652
Historical,2008,64.9264380666809
Historical,2009,64.4692145939502
Historical,2010,67.1620621162128
Historical,2011,70.0152265266839
Historical,2012,72.868288415815
Historical,2013,75.721251312524
SSP1,2014,78.5741185770816
SSP2,2014,78.6776494062609
SSP3,2014,78.5733144060161
SSP5,2014,78.7537891497679
SSP1,2015,81.4268934122962
SSP2,2015,81.556286627706
SSP3,2015,81.4258609230124
SSP5,2015,81.6514786403287
SSP1,2016,85.3306361593825
SSP2,2016,85.393632914542
SSP3,2016,85.1324243963121
SSP5,2016,85.7503741811736
SSP1,2017,89.2342543173947
SSP2,2017,89.2308477641583
SSP3,2017,88.838851621297
SSP5,2017,89.8491407800315
SSP1,2018,93.1377516738215
SSP2,2018,93.0679359147444
SSP3,2018,92.5451487342525
SSP5,2018,93.9477821199551
SSP1,2019,97.041131849104
SSP2,2019,96.9049018615251
SSP3,2019,96.2513214921756
SSP5,2019,98.046301723015
SSP1,2020,100.944398305378
SSP2,2020,100.741749873922
SSP3,2020,99.9573753042822
SSP5,2020,102.144702960561
SSP1,2021,105.678344438459
SSP2,2021,104.868209618695
SSP3,2021,103.52576551213
SSP5,2021,107.722595953399
SSP1,2022,110.412139523143
SSP2,2022,108.994531203945
SSP3,2022,107.094045302296
SSP5,2022,113.300312362797
SSP1,2023,115.145787611844
SSP2,2023,113.120719238871
SSP3,2023,110.662219619768
SSP5,2023,118.877856507523
SSP1,2024,119.879292593003
SSP2,2024,117.246778110702
SSP3,2024,114.23029310752
SSP5,2024,124.455232531205
SSP1,2025,124.612658201084
SSP2,2025,121.372711999296
SSP3,2025,117.798270130356
SSP5,2025,130.032444412484
SSP1,2026,130.25510595328
SSP2,2026,125.586491105719
SSP3,2026,120.934021428993
SSP5,2026,137.369313742908
SSP1,2027,135.897363630664
SSP2,2027,129.800121546119
SSP3,2027,124.069681019434
SSP5,2027,144.705934028122
SSP1,2028,141.539435354857
SSP2,2028,134.013607682663
SSP3,2028,127.205252776875
SSP5,2028,152.042310181549
SSP1,2029,147.181325108952
SSP2,2029,138.226953692227
SSP3,2029,130.34074035445
SSP5,2029,159.378446944627
SSP1,2030,152.823036742403
SSP2,2030,142.440163578974
SSP3,2030,133.476147199741
SSP5,2030,166.714348895253
SSP1,2031,159.193404173555
SSP2,2031,146.635362756931
SSP3,2031,136.069217873111
SSP5,2031,175.559527151247
SSP1,2032,165.563536273681
SSP2,2032,150.830402037331
SSP3,2032,138.662214527994
SSP5,2032,184.404367954563
SSP1,2033,171.933437309409
SSP2,2033,155.025285519606
SSP3,2033,141.25514002592
SSP5,2033,193.248876912476
SSP1,2034,178.303111421289
SSP2,2034,159.220017149738
SSP3,2034,143.847997078923
SSP5,2034,202.093059454425
SSP1,2035,184.672562628916
SSP2,2035,163.414600727916
SSP3,2035,146.440788257707
SSP5,2035,210.93692084086
SSP1,2036,191.371209047705
SSP2,2036,167.76752857505
SSP3,2036,148.796320298144
SSP5,2036,220.538747703655
SSP1,2037,198.069570213234
SSP2,2037,172.120271080435
SSP3,2037,151.151776309622
SSP5,2037,230.140145197864
SSP1,2038,204.767650357056
SSP2,2038,176.472832430541
SSP3,2038,153.507159084282
SSP5,2038,239.741119210724
SSP1,2039,211.465453599557
SSP2,2039,180.825216669203
SSP3,2039,155.862471273863
SSP5,2039,249.341675458252
SSP1,2040,218.162983954843
SSP2,2040,185.177427702358
SSP3,2040,158.217715397741
SSP5,2040,258.941819492583
SSP1,2041,224.962691320817
SSP2,2041,189.67075916966
SSP3,2041,160.322090709698
SSP5,2041,269.095952866664
SSP1,2042,231.762056103391
SSP2,2042,194.163874915169
SSP3,2042,162.426387275319
SSP5,2042,279.249544232558
SSP1,2043,238.561082356938
SSP2,2043,198.656779255577
SSP3,2043,164.530607896717
SSP5,2043,289.402599490157
SSP1,2044,245.359774039446
SSP2,2044,203.149476371598
SSP3,2044,166.634755238547
SSP5,2044,299.55512438068
SSP1,2045,252.158135016984
SSP2,2045,207.641970315516
SSP3,2045,168.738831835848
SSP5,2045,309.707124490451
SSP1,2046,258.778819119213
SSP2,2046,212.193522019682
SSP3,2046,170.542517331784
SSP5,2046,320.132215196208
SSP1,2047,265.399102953206
SSP2,2047,216.744829269435
SSP3,2047,172.346121825537
SSP5,2047,330.55664076925
SSP1,2048,272.018989973764
SSP2,2048,221.295896205467
SSP3,2048,174.149648060835
SSP5,2048,340.980406377636
SSP1,2049,278.638483561329
SSP2,2049,225.846726854269
SSP3,2049,175.953098653113
SSP5,2049,351.403517053438
SSP1,2050,285.257587023824
SSP2,2050,230.397325133796
SSP3,2050,177.756476097076
SSP5,2050,361.82597769473
SSP1,2051,291.751622508692
SSP2,2051,235.124637236377
SSP3,2051,179.415019580452
SSP5,2051,372.65923339765
SSP1,2052,298.245201456525
SSP2,2052,239.851676980419
SSP3,2052,181.073478886091
SSP5,2052,383.491694537464
SSP1,2053,304.738326330268
SSP2,2053,244.578448046859
SSP3,2053,182.731856601035
SSP5,2053,394.323364722681
SSP1,2054,311.230999539858
SSP2,2054,249.304954029664
SSP3,2054,184.390155202411
SSP5,2054,405.154247452259
SSP1,2055,317.723223443867
SSP2,2055,254.031198438362
SSP3,2055,186.048377063384
SSP5,2055,415.984346114259
SSP1,2056,324.281237017863
SSP2,2056,259.13079928969
SSP3,2056,187.767237376049
SSP5,2056,427.545866833157
SSP1,2057,330.838762433911
SSP2,2057,264.230104223009
SSP3,2057,189.486011268019
SSP5,2057,439.106494120896
SSP1,2058,337.395800551813
SSP2,2058,269.329116221655
SSP3,2058,191.204701102301
SSP5,2058,450.666228839733
SSP1,2059,343.952352196008
SSP2,2059,274.42783820902
SSP3,2059,192.923309152158
SSP5,2059,462.225071758726
SSP1,2060,350.508418156568
SSP2,2060,279.526273051562
SSP3,2060,194.641837606337
SSP5,2060,473.783023553994
SSP1,2061,357.050253678919
SSP2,2061,285.000555389379
SSP3,2061,196.463661477869
SSP5,2061,486.036454612141
SSP1,2062,363.591600315894
SSP2,2062,290.474536706279
SSP3,2062,198.285398162228
SSP5,2062,498.288959689385
SSP1,2063,370.132457243556
SSP2,2063,295.948218985121
SSP3,2063,200.107049829761
SSP5,2063,510.540536626799
SSP1,2064,376.67282360961
SSP2,2064,301.421604176657
SSP3,2064,201.928618576495
SSP5,2064,522.791183175819
SSP1,2065,383.212698531263
SSP2,2065,306.894694200976
SSP3,2065,203.750106427142
SSP5,2065,535.040896997238
SSP1,2066,389.504273682347
SSP2,2066,312.668953606477
SSP3,2066,205.625764343981
SSP5,2066,547.730186053229
SSP1,2067,395.79539111878
SSP2,2067,318.442916841436
SSP3,2067,207.501337390912
SSP5,2067,560.418574120366
SSP1,2068,402.08604850213
SSP2,2068,324.216585026467
SSP3,2068,209.376827539802
SSP5,2068,573.106056209095
SSP1,2069,408.376243454846
SSP2,2069,329.989959267265
SSP3,2069,211.252236700108
SSP5,2069,585.792627224904
SSP1,2070,414.665973564977
SSP2,2070,335.763040655967
SSP3,2070,213.12756672032
SSP5,2070,598.478281966255
SSP1,2071,420.549157032203
SSP2,2071,341.775388068614
SSP3,2071,215.04654312603
SSP5,2071,611.442707063561
SSP1,2072,426.431913529954
SSP2,2072,347.787450686902
SSP3,2072,216.965436482144
SSP5,2072,624.406263873241
SSP1,2073,432.314239429908
SSP2,2073,353.799228783033
SSP3,2073,218.884248605502
SSP5,2073,637.368944803878
SSP1,2074,438.196131046513
SSP2,2074,359.810722623966
SSP3,2074,220.802981258597
SSP5,2074,650.330742121347
SSP1,2075,444.077584634269
SSP2,2075,365.821932471201
SSP3,2075,222.721636151649
SSP5,2075,663.291647943875
SSP1,2076,449.731062474747
SSP2,2076,372.138097190655
SSP3,2076,224.723927228265
SSP5,2076,676.770730629263
SSP1,2077,455.384146256055
SSP2,2077,378.45399588833
SSP3,2077,226.726142185657
SSP5,2077,690.248983526061
SSP1,2078,461.036831138575
SSP2,2078,384.769627954111
SSP3,2078,228.728282581322
SSP5,2078,703.726396448118
SSP1,2079,466.689112189075
SSP2,2079,391.084992776859
SSP3,2079,230.730349928965
SSP5,2079,717.202958994768
SSP1,2080,472.340984383948
SSP2,2080,397.400089740967
SSP3,2080,232.732345700597
SSP5,2080,730.67866054899
SSP1,2081,477.636460954029
SSP2,2081,403.978766294783
SSP3,2081,234.787855105768
SSP5,2081,744.518151284127
SSP1,2082,482.931582231731
SSP2,2082,410.557195638152
SSP3,2082,236.843295427424
SSP5,2082,758.356866872775
SSP1,2083,488.226342429201
SSP2,2083,417.135376388064
SSP3,2083,238.89866800432
SSP5,2083,772.194794925203
SSP1,2084,493.520735623635
SSP2,2084,423.713307156326
SSP3,2084,240.953974139622
SSP5,2084,786.031922750804
SSP1,2085,498.814755756028
SSP2,2085,430.290986545604
SSP3,2085,243.009215102398
SSP5,2085,799.868237351575
SSP1,2086,503.737892434214
SSP2,2086,437.180553848414
SSP3,2086,245.192176785531
SSP5,2086,814.050996178433
SSP1,2087,508.66071475154
SSP2,2087,444.069893587578
SSP3,2087,247.375073598225
SSP5,2087,828.233048762198
SSP1,2088,513.583216250386
SSP2,2088,450.959003788793
SSP3,2088,249.557906769062
SSP5,2088,842.414381009317
SSP1,2089,518.505390292803
SSP2,2089,457.847882462908
SSP3,2089,251.740677494658
SSP5,2089,856.594978428833
SSP1,2090,523.427230053513
SSP2,2090,464.73652760504
SSP3,2090,253.923386940829
SSP5,2090,870.774826114683
SSP1,2091,527.933924764235
SSP2,2091,471.940471232836
SSP3,2091,256.258313648001
SSP5,2091,885.251331161821
SSP1,2092,532.440345832789
SSP2,2092,479.144212430697
SSP3,2092,258.593182722007
SSP5,2092,899.727211859334
SSP1,2093,536.946486278116
SSP2,2093,486.347748894178
SSP3,2093,260.927995254921
SSP5,2093,914.20245275013
SSP1,2094,541.452338882864
SSP2,2094,493.551078297606
SSP3,2094,263.262752310761
SSP5,2094,928.677037850357
SSP1,2095,545.957896181105
SSP2,2095,500.75419828883
SSP3,2095,265.597454926137
SSP5,2095,943.150950633128
SSP1,2096,549.875276050761
SSP2,2096,508.210143642126
SSP3,2096,268.077945003948
SSP5,2096,957.699430367349
SSP1,2097,553.792412155965
SSP2,2097,515.665927451529
SSP3,2097,270.558378530553
SSP5,2097,972.247359570521
SSP1,2098,557.709296794807
SSP2,2098,523.12154736439
SSP3,2098,273.038756569884
SSP5,2098,986.794721206515
SSP1,2099,561.625921955037
SSP2,2099,530.5770009969
SSP3,2099,275.519080158989
SSP5,2099,1001.34149754434
SSP1,2100,565.542279292635
SSP2,2100,538.032285936146
SSP3,2100,277.999350308429
SSP5,2100,1015.88767012327
