scenario,year,humanitarian_needs,displaced_persons,conflict,humanitarian_needs_label
SSP1,2020,319.153687953609,18684633.5,30.324813824445,19.1536879536089
SSP1,2050,351.312685547371,26820409.984375,36.4561664094609,51.3126855473706
SSP1,2100,391.953374563267,33169074.1953125,47.2522314667831,91.9533745632668
SSP2,2020,318.984525454148,18668449.2890625,30.2693993004391,18.9845254541478
SSP2,2050,355.931597622808,27937773.4453125,37.3518089133863,55.9315976228076
SSP2,2100,447.666645657167,53252690.84375,53.1166898737486,147.666645657167
SSP3,2020,318.76607819067,18622297.0703125,30.216186816482,18.7660781906698
SSP3,2050,364.142494900976,28474114.6796875,40.1042467209516,64.1424949009758
SSP3,2100,517.050203507084,77091524.296875,61.6811987569356,217.050203507084
SSP5,2020,319.331805517148,18752348.9453125,30.3463455332865,19.3318055171477
SSP5,2050,371.014734209145,34782141.9453125,38.0485721801237,71.0147342091449
SSP5,2100,523.039538691193,71417144.890625,67.5398400684493,223.039538691193
