scenario,year,historical_humanitarian_needs,humanitarian_needs,intercept,displaced_persons,displacement_beta,tmax,prec,tmax_beta,prec_beta,conflict,conflict_beta,humanitarian_needs_label
SSP1,2013,10957813875,17.0460816074841,-8282028604.83627,26653349.9765625,3863958057.81743,4744.11100382109,174897.633521158,29145588667.997,-9860156271.29552,28.5270885025368,2178719757.80144,1.08274887509485
SSP1,2014,17386435740,15.7489907547763,-8282028604.83627,13772928.59375,1996672780.95855,4770.17141305407,170851.338474595,29305691576.0892,-9632039397.00942,30.9097752581328,2360694399.57419,1.00035905120426
SSP1,2015,16751791268,17.586577296646,-8282028604.83627,21004064.609375,3044976513.85958,4799.63124098381,164210.998407281,29486678915.2089,-9257678752.78532,33.9728031902623,2594629225.19913,1.11708058327914
SSP1,2016,20863791077,16.1157166274718,-8282028604.83627,16756154.8828125,2429153548.59384,4798.05882167816,174014.236786714,29477018709.9019,-9810353254.09167,30.1402936263776,2301926227.90391,1.02365308647128
SSP1,2017,20087890503,17.5977242625722,-8282028604.83627,27117058.2109375,3931182221.76925,4781.67276197672,176773.822069087,29376350459.188,-9965929642.29289,33.2332896592204,2538149828.7441,1.11778862663451
SSP1,2018,22952441203,17.1412913442252,-8282028604.83627,22314673.9140625,3234976622.21184,4793.40509357055,171956.375507542,29448428391.2758,-9694337768.98317,31.8729116453744,2434252704.55698,1.08879649575797
SSP1,2019,22757028597,16.6315391111174,-8282028604.83627,19038508.234375,2760028190.29221,4809.12887008737,171985.783317158,29545027885.3217,-9695995685.05997,30.1740892517374,2304507325.39979,1.05641757902603
SSP1,2020,24991858668,16.4262946536069,-8282028604.83627,18684633.5,2708726679.1295,4807.23388322194,174714.079892013,29533385976.5075,-9849808118.31544,30.324813824445,2316018721.12161,1.04338067056776
SSP1,2021,25842821986,16.3021178843435,-8282028604.83627,19586687.5078125,2839498190.22055,4794.29118452531,175616.111791486,29453872117.7125,-9900661725.14494,28.6936137057551,2191437906.39172,1.03549309497538
SSP1,2022,33503635306,16.3417842190136,-8282028604.83627,19315149.3203125,2800133075.94717,4800.3315605263,175807.229881576,29490981349.3858,-9911436337.68039,29.3836001632993,2244134736.1973,1.03801265813554
SSP1,2023,0,16.4263484270528,-8282028604.83627,19368593.3046875,2807880894.29831,4806.37193652729,175998.347971666,29528090581.0592,-9922210950.21585,30.0445837207721,2294616506.74742,1.04338408619954
SSP1,2024,0,16.6171357864024,-8282028604.83627,20200417.3203125,2928471105.68587,4812.41231252828,176189.466061756,29565199812.7325,-9932985562.75131,30.6188981718306,2338479035.57158,1.05550269524265
SSP1,2025,0,16.8708110497244,-8282028604.83627,21458825.0390625,3110903507.20986,4818.45268852927,176380.584151846,29602309044.4058,-9943760175.28676,31.2069046872499,2383387278.23175,1.07161587669549
SSP1,2026,0,17.1623623246998,-8282028604.83627,24162743.3515625,3502892767.86384,4824.49306453026,176571.702241936,29639418276.0792,-9954534787.82222,29.5470063435788,2256614673.41523,1.09013490190498
