Year,Country (Final Name),Country ID,Country,Type of appeal,Type of Response,Appeal,Required (US$),Funded (US$), Coverage (%) ,Comments,Links
2000,Albania,AL,Albania,Appeal,CAP,Southeastern Europe 2000,26681062,5315423,19.92,Consolidated Inter-agency appeal,https://reliefweb.int/report/albania/snapshot-consolidated-appeal-southeastern-europe-2000
2000,Angola,AO,Angola,Appeal,CAP,Angola 2000,"262,338,124","141,527,669",54,Consolidated Inter-agency appeal,https://reliefweb.int/sites/reliefweb.int/files/resources/finalang.pdf
2000,Bosnia and Herzegovina,BA,Bosnia and Herzegovina,Appeal,CAP,Southeastern Europe 2000,106543100,22093539,20.74,Consolidated Inter-agency appeal,https://reliefweb.int/report/albania/snapshot-consolidated-appeal-southeastern-europe-2000
2000,Burundi,BI,Burundi,Appeal,CAP,Burundi 2000,"36,630,784","9,954,591",27.2,Consolidated Inter-agency appeal,https://reliefweb.int/sites/reliefweb.int/files/resources/finalburundi.pdf
2000,Burundi,BI,Burundi,Appeal,RRP,Great Lakes Region and Central Africa 2000,36630784,7986665,21.8,,https://reliefweb.int/sites/reliefweb.int/files/resources/finalgreatlakes.pdf
2000,Democratic Republic of the Congo,CD,Congo (the Democratic Republic of the),Appeal,CAP,Democratic Republic of the Congo 2000,"37,039,207","11,772,710",31.8,Consolidated Inter-agency appeal,https://reliefweb.int/report/democratic-republic-congo/snapshot-consolidated-appeal-democratic-republic-congo-2000
2000,"Congo, Democratic Republic of",CD,Congo (the Democratic Republic of the),Appeal,RRP,Great Lakes Region and Central Africa 2000,37039207,9380611,25.33,,https://reliefweb.int/sites/reliefweb.int/files/resources/finalgreatlakes.pdf
2000,Republic of Congo,CG,Congo (the),Appeal,CAP,Republic of Congo 2000,"20,840,352","3,591,217",17.2,Consolidated Inter-agency appeal,https://reliefweb.int/report/congo/snapshot-consolidated-appeal-republic-congo-2000
2000,Congo,CG,Congo (the),Appeal,RRP,Great Lakes Region and Central Africa 2000,20840352,3056731,14.67,,https://reliefweb.int/sites/reliefweb.int/files/resources/finalgreatlakes.pdf
2000,Croatia,HR,Croatia,Appeal,CAP,Southeastern Europe 2000,32527000,14585416,44.84,Consolidated Inter-agency appeal,https://reliefweb.int/report/albania/snapshot-consolidated-appeal-southeastern-europe-2000
2000,Indonesia,ID,Indonesia,Appeal,CAP,Maluku Crisis 2000, -   ,"8,155,538", -   ,Consolidated Inter-agency appeal,https://reliefweb.int/sites/reliefweb.int/files/resources/2F59006CF429D15AC12568B00054897A-malukuapp.pdf
2000,Korea (the Democratic People's Republic of),KP,Korea (the Democratic People's Republic of),Appeal,CAP,DPR of Korea 2000,"313,757,503","153,103,893",48.8,Consolidated Inter-agency appeal,https://reliefweb.int/sites/reliefweb.int/files/resources/DPRK%20FINAL%20MTR%2016%20JULY%202000.pdf
2000,the former Yugoslav Republic of Macedonia,MK,North Macedonia,Appeal,CAP,Southeastern Europe 2000,24649516,8138621,33.02,Consolidated Inter-agency appeal,https://reliefweb.int/report/albania/snapshot-consolidated-appeal-southeastern-europe-2000
2000,Sudan,SD,Sudan (the),Appeal,CAP,Sudan 2000,"131,511,144","107,254,563",81.6,Consolidated Inter-agency appeal,https://reliefweb.int/sites/reliefweb.int/files/resources/sudanfinaldoc.pdf
2000,Sierra Leone,SL,Sierra Leone,Appeal,CAP,Sierra Leone 2000,"64,338,048","43,311,758",67.3,Consolidated Inter-agency appeal,https://reliefweb.int/sites/reliefweb.int/files/resources/FINAL%20SIERRA%20LEONE%20MTR%2020%20JULY%202000.pdf
